page 2	WE understand that an enquiry is on foot regarding the accommodation fro lunatics in Hongkong, the Committee of Enquiry being the Hon. H. E. Wodehcouse, Mr. T. Sercombe Smith, and Mr N. J. Ede.
page 3	CORDIAL RECEPTION OF THE LORD MAYOR OF LONDON IN FRANCE.
page 3	THE UNITED STATES AND THE MISSIONARY RIOTS.
page 3	THE AMERICA CUP.
page 3	THE ST. LEGER.
page 3	THE BRITISH GOVERNMENT AND THE TSUNGLI YAMEN.
page 3	MURDEROUS ASSAULT ON A FOREIONER.
page 3	FEMALE MISSIONARIES IN THE INTERIOR.
page 3	LINCHING.
page 3	A RUDE AWANENTNG.
page 3	FLOOD TACTICS.
page 3	A PLUOD.
page 3	OPPOSING THE INRUSH.
page 3	THE CONSEQUENCES.
page 3	ONE OFFICIAL REFUSES HELP.
page 3	OUR PEOTECTORE.
page 3	CONSIDERABLE HOSTILE TALK.
page 3	PEKING CHANGES.
page 3	RUSSIA'S LATELST INVASION.
