page 2	OUR eighty-thousand-dollar Gap Rock Cable has been for some time quite useless. Something has gone wrong with it at the Gap Rock end and the thirty-dollar-a-month expert.
page 3	ANOTHER RIOT AT ICHANG.
page 3	WELCOME TO THE PUISNE JUDGE.
page 3	THE PRESENT FINANCIAL STATE OF THE COLONY?
page 3	THE RULE OF THE ROAD AT SEA.
page 3	DR AYRES ON OPIUM SMOKING.
page 3	CHARNEL HOUSES IN SINGAPORE.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	THE PRESIDENTIAL ELECTION.
page 3	LORD SALISBURY AND THE NONCONPORMISTS.
page 3	THE IRISH COMMISSION.
page 3	RUSSIA AND FRANCE.
page 3	THE NEW HEBRIDES QUESTION.
page 3	NEW STEAMSHIP SOUTH.
page 3	H.M.S. SATELLITE.
page 3	A BRITISH ORUISER DISADLED.
page 3	THE WEISH MINERS.
page 3	A PEARLER'S CHARGE.
page 3	THE LORD MAYOR ELECT HISSED.
page 3	NOMINEE COUNCILS.
page 3	FINANCE COMPANY.
page 3	A NEW COMET.
