page 2	THE rapid development of the gold mining interest throughout the world that has followed the California discoveries has not yet reached its limits. North China and South Africa are to be added.
page 3	"assumes the god, Affects to nod."
page 3	LOCAL.
page 3	TO-DAY'S POLICE.
page 3	THE LCENSING MEETING.
page 3	INLAND TRANSIT DUES.
page 3	ARISTOCRACY.
page 3	THE SUCCESS OF "LA LANTERNE."
page 3	IS THE BALLOT NECESSARY.
page 3	A REMARKABLE DISCOVERY.
page 3	TELEGRAPHIC COMMUNICATION BETWEEN INDIA AND AUSTRALIA.
page 3	MISCELLANEOUS.
