page 2	THE fighting in and around Plevna affords a striking illustration of offensive and defensive warfare. The town (situated in an excellent strategical position) and the surrounding country are exceptionally well adapted for defensive purposes.
page 3	VIOLENTLY DRUNK.
page 3	MEDICINAL HERBS.
page 3	AN OLD OFFENDER.
page 3	ROBBERY FROM THE PERSON.
page 3	THE RACQUET COURT BURGLARY.
page 3	PAWNBROKERS' LIABILITY.
page 3	ATTEMPT TO COMMIT BURGLARY.
page 3	WILFUL MURDER, &C.
page 3	PUBLIC GAMBLING.
page 3	VIOLENT ROBBERY .
page 3	CAPE GUARDAFUI.
page 3	A WORD FOR THE BAND.
