page 1	"THE EARLY WORM."
page 2	JOHN STUART BLACKIE.
page 2	HIS COSPEL OF JOY.
page 2	OF POLITICIANS.
page 2	AND OF AUTHORS.
page 4	STRIPPING THEM NAKED.
page 4	THE LORDS AND THE BUDGET.
page 4	PREPARED TO TAKE THE CONSEQUENCES.
page 4	MORTALITY STATISTICS.
page 4	A PPLICATION TO ERECT A MONUMENT.
page 4	VOLCANIC ERUPTIONS AT TENERIFFE.
page 4	VILLAGES DESERTED.
page 4	PRINCE TSAI HSUN IN ENGLAND.
page 4	ENTERTAINED AT WINDSOR.
page 4	RAILWAY CONCESSION REFUSED.
page 4	CHINESE IN MALAYSIA.
page 4	TO KEEP IN CLOSER TOUCH.
page 4	THE FOREIGN OFFICE.
page 5	THE LATE MR. MOFFATT.
page 5	CHARGE OF ARMED ROBBERY.
page 5	LIGHTING THE SOUTH AFRICAN COAST.
page 5	BYSACK'S CIRCUS.
page 5	THE FATAL COLLISION NEAR SINGAPORE.
page 5	A Terrible Tale of the Sea.
