page 1	NEW Y.M.C.A. SECRETARY FOR HONGKONG.
page 2	CROWN COLONIES AND THE COLONIAL OFFICE.
page 3	THE KIUKIANG BOYCOTT.
page 3	Questions in the Home of Commons.
page 6	JAPAN AND THE QUACKS.
page 6	A ROYAL DAY AT LOYAL CANTON.
page 6	SINGAPORE'S SEARCH FOR REVENUE.
page 6	A DUTY ON PETROLEUM.
page 6	ARE THE LORDS WEAKENING.
page 6	ADJOURNED TILL MONDAY.
page 6	TURKEY FEARS BALKAN CONFEDERATION.
page 6	WHAT THE MEETING OF PETER AND FERDINAND MAY MEAN.
page 6	CHINA'S FINANCES.
page 6	EUROPEAN ADVISERS TO BE ENGAGED.
page 6	THE MACAO QUESTION.
page 6	FIRMNESS OF PORTUGUESE MINISTER.
page 6	RAILWAY LOANS.
page 6	H. E. KAO ERH CHEN.
page 6	CHINESE NAVAL COMMISSIONERS.
page 6	A SHOWER OF DECORATIONS.
page 6	OBSTRUCTING THE CANAL.
page 6	P. AND C. VESSEL ASHORE.
page 6	GOVERNMENT HOUSE.
page 7	THE MERRY MAKERS.
page 7	HONGKONG MARRIAGE DISSOLVED.
