page 2	WITH the possibility, if not the probability, that this all-too-prevalent summer form of choleraic diarrhea may spread, and with the knowledge that if it does it may prove to be the forerunner of a serious epidemic.
page 3	THE STORM.
page 3	THIRD FATAL CHOLERA CASE IN THE GAOL.
page 3	AN ILLEGAL EXECUTION.
page 3	THE NATIONAL DEFENCES.
page 3	THE GREAT DEBATE IN THE HOUSE OF LORDS.
page 3	HOUSE OF LORDS, MAY 15.
page 3	NEWS BY THE GERMAN MAIL.
page 3	BURNING OF OSMAN DIGMA'S CAMP-A FERARFUL HOLOUAUST.
page 3	JOHN BRIGHT'S ILLNESS.
page 3	THE IRISH BISHOPS AND THE PAPAL RESCRIPT.
page 3	ITALY A D ABYSSINIA.
page 3	THE RETENTION OF SUAKIM.
page 3	THE GERMAN EMPEROR.
page 3	MORE BIRTEDAY HONORS.
page 3	THE DECCAN MINING SCANDAL.
page 3	ITALY AND ENGLAND.
page 3	ENGLAND AND EGYPT.
page 3	THE VATICAN AND IRELAND.
page 3	THE EUROPEAN SITUATION.
page 3	MISCELLANEOUS.
