page 2	'WE are spending too much!' This was the outcry of M Cochery, the official reporter on the French Budget, in December of 1895.
page 3	THE CLLISION AT SHANGHAI.
page 3	LATEST DETAILS.
page 3	THE SENTENCES OF THE REFORM COMMITTEE.
page 3	THE ITALIANS IN AFRICA.
page 3	FRANCE.
page 3	RUSSIA.
page 3	COLONIES AND TRADE.
page 3	THE CHINA-JAPAN TREATY OF PEACE.
page 3	A NEW TRANSLATION.
page 3	ROUTES AGAINST THE MONSOON IN THE INDIA AND CHINA SEAS.
page 3	THE INDIAN TEA CROP ESTIMATE.
page 3	FRANCE AND THE WEST RIVER.
page 3	THE RACEHORSE 'PARIS.'
page 3	CAPTURE OF BRITISH VESSEL BY PIRATES.
page 3	A COSTLY ELECTION PETITION.
page 3	AN ANCIENT COPY OF THE GOSPELS.
page 3	THE GERMAN STEAMER "BARODA."
page 3	WARLIKE PREPARATIONS IN FRANCE.
page 3	THE SECUNDERABAD MURDER.
page 3	ANOTHER RACE FROM BOMBAY!
page 3	AN EPIDEMIC OF FIRES AT CALCUTTA.
page 3	A PRESENTATION CEREMONY AT GILGIT.
page 3	NATIONALISING MADAGASCAR.
page 3	THE GOA REVOLT RECURRING: REBELS WANT COMPENSATION.
page 3	THE SINGAPORE AND HONGKONG MILITABY CONTRIBUTIONS.
page 3	THE SITUATION IN SOUTH AFRICA.
page 3	THE HON. M. GIFFORD MADE.
page 3	THE EGYPTIAN DIFFICULTY.
page 5	TITBITS FROM EVERYWHERE.
page 5	THE RULING PASSION STRONG IN DEATH.
page 5	SMART WORK.
page 5	THE AUSTRALIAN NATIONAL FLOWER.
page 5	STORIES OF THE PRINCESS ROYAL.
page 5	THE DUCHESS OF YORK AND THE DEFID FOLK.
page 5	PRINCES CYCLE-RACING AT BALMORAL.
page 5	THE COUNTESS OF WARWICK ONB THE DUTY OF WOMAN.
page 5	THE COUNTESS AS GUARDIAN.
page 5	COURTING IN RUSSIA.
page 5	DUTCH ENTERPRISE IN JAVE.
page 5	THE SUGAR MARKET.
