page 2	FLATTERERS are not always the best friends and are often very inconvenient people. These were doubtless the thoughts which passed through the mind of the Hon. C. P. Chater when he read the rigmarole entitled 'Hongkong and its Future.
page 3	SANITARY BOARD.
page 3	THE ENFORCEMENT OF THE BOARD'S BY-LAWS.
page 3	MR. FRANCIS' REAOLUTIONS.
page 3	CHINESE NOTES.
page 3	THE YELLOW FPOER IN SHANTUNG.
page 3	POLICE REGULATIONS IN AFGRHANISTAN.
page 3	SOME CURIOUS PUNISHMENTS.
page 3	NEWS BY THE GERMAN MAIL.
page 3	THE HARVRST IN GRRAT BRITAIN.
page 3	NEWS FROM EGYPT.
page 3	GENERAL BOULANGER.
page 3	RUSSIA AND BULGARIA.
page 3	COURT OF CRIMINAL APPEAL.
page 3	POSTAGE TO INDIA.
page 3	THE SHAR.
page 3	THE QUEEN'S GIFT TO BISMARCK.
page 3	PRINCE ALBERT'S TOUR.
page 3	COLLIERY EXPLOSION.
page 3	A CHAPIER OV HORRORS.
page 3	THE F. & O. S. S. 'FENINSULAR' ASHORE.
page 3	ENGLAND AND THE TRIPLE ALLIANCE.
page 3	H. M. S. 'SULTAN' ON THE NOCKS AGTIN.
page 3	COLONIAL APPOINTMENTS.
page 3	RAILWAY ACOIDENT IN ENGLAND.
page 3	QUIET AT ZANZIBAR.
page 3	THE CZAR TOASTS THE AUSTRIAN EMPEROR.
page 3	THE DISTURBANCES IN ORETE.
page 3	THE KAISER'S JOURNEY.
page 3	DVAMITE OUTRAGB IN ROME.
page 3	THE TRIPLE ALLIANCE.
page 3	SULLIVAN SENTENCED.
page 3	THE CZAR'S TOUR.
page 3	THE DISMISSAL OF BOULANGIST OFFICERS.
page 3	THE NAVAL MANCEUVRES.
