page 2	IT may be remembered that an attempt was made, some three months ago, by the Justices of the Peace, to secure the supply to our sailors and soldiers of more whole.
page 3	SPAIN AND THE UNITED STATES.
page 3	THE WEST YORKSHIRES VISIT TO SELANGOR.
page 3	ASSOCIATION FOOTBALL WIN FOR SELANGOR.
page 3	THE BOMBARDMENT OF CEBU.
page 3	THIRTY CHINESE KILLED.
page 3	RETREAT OF THE REBELS.
page 3	COAL IN THE TWO KWANG.
page 3	MR. WATTS' CASE.
page 3	THE LATE DR LEGGE.
page 3	PROPOSED MEMORIAL IN THE UNION CHURCH.
page 3	UNITED STATES AND SPAIN.
page 3	A CHANGE OF COLOUR.
page 3	THE CHANGES OF A NAVAL FIGHT.
page 3	TO SHIPS' OFFICERS.
page 3	THE U. D. O. IN THE STRAITS.
page 5	THE STSTEM EXPLAINED.
page 5	CHINESE MANCHURIA.
