page 2	SOME of the errors into which H. E. Governor Hennessy so frequently falls are inexplicable, while others are probably caused by a toe eager desire "to find it so".
page 3	THE TERRIBLE CATASTROPHE TO H. M. S. "DOTEREL."
page 3	THEFT.
page 3	THEFT FROM THE PERSON.
page 3	REMAND.
page 3	ASSAULT.
page 3	ALLOWING A PRISONER TO ESCAPE.
page 3	ALLEGED THEFT FROM THE PERSON.
page 3	UNLAWFUL POSSESSION.
page 3	SHIP DESERTION.
page 3	THROWING NIGHT SOIL ON THE STREET.
page 3	TRESPASS.
page 3	MISCELLANEOUS.
page 3	REMANDS.
page 3	FOOCHOW GENERAL CHAMBER OF COMMERCE.
page 3	THE FOOCHOW CHAMBER AND POSTAL FACILITIES.
