page 2	WE can find no place named Kara Kassanler in Bulgaria, and there are two rivers Lom in the province, one emptying itself into the Danube near Widin and the other near Rustchuck.
page 3	A DRUNKEN SPREE.
page 3	WANT OF DISCRETION.
page 3	PUB IC GAMBLING.
page 3	NEGLECT OF DUTY.
page 3	ROBBERY.
page 3	A COLLISION BETWEEN TWO STEAM-LAUNCHES.
page 3	IN SUMMARY JURISDICTION.
page 3	"HUNG MO KWAI".
page 3	THINGS IN PARTICULAR.
page 3	AN ANTITHESIS.
page 3	CAPE GUARDAFUI.
page 3	NAVAL ENGAGEMENT ON THE DANUBE.
