page 2	THE Acting Governor in his opening address speaks of the  desirability of contracting a loan to defray the expense of permanent remunerative works.
page 3	FRANCE AND DAHOMEY.
page 3	EAST AFRICA.
page 3	THE JEWS IN RUSSIA.
page 3	THE AMERICAN TARIFF BJLL.
page 3	SPAIN AND PORTUGAL.
page 3	PASSED SUEZ CANAL.
page 3	THE POLICE AND THE WEI SING LOTTERY AGENCIES.
page 3	NEWS BY THE FRENCH MAIL.
page 3	CHOLERA AMONG ITALIAN TROOPS IN ABYSSINIA.
page 3	THE LANCASHIRE PLATE.
page 3	THE INDIAN CHILD MARRIAGE QUESTION.
page 3	MOUSSA BEY.
page 3	THE STRIKE AT SYDNEY: GBAVE ASPECT OF AFFAIRS.
page 3	GERMAN MILILARY APPOINTMENT.
page 3	GREAT FLOODS IS EUHOPE.
page 3	THE BURNING OF COLON.
page 3	RUSSIAN CORRUPTION.
page 3	A COLLISION IN THE HOOGHLY.
page 3	MISCELLANEOUS.
page 3	MEMORANDUM ON THE DEFALCATIONS IN THE MONEY ORDER OFFICE.
page 3	THE MEMORANDA OF ASSOCIATION BILL.
