page 2	IN spite of the active preparations for war being made by the Chinese, and not with standing that French demands have most probably been rejected within the last few days, our opinion still is that a peaceful solution of the difficulty will be reached.
page 3	GREAT EXCITEMENT AT FOOCHOW.
page 3	THE SAFETY OF FOREIGNERS.
page 3	THE TERMS OF THE ULTIMATUM.
page 3	EXTENSION OF UTIMATUM.
page 3	NEGOTIATIONS AT SHANGHAI.
page 3	CHINA DEMANDS THE AID OF THE POWERS.
page 3	THE SAFETY OF FOREIGNERS.
page 3	THE 'NISSRO.'
page 3	WAR'S ALARMS.DISORDERLY CONDUCT AND ASSAULT.
page 3	PETTY LARCENY.
page 3	DESERTION AND UNLAWEUL POSSESSION.
