page 2	THE report submitted to the Legislative Council by the Registrar General, on a petition from the po Leung Kuk, contains a great deal of very interesting information and describes with great clearness and exhaustiveness the actual position and work of the Society.
page 3	STORMS.
page 3	HEALTH OF THE KAISER.
page 3	CBITUARY.
page 3	THE CHARGE AGAINST THE OPIUM FARMER.
page 3	OFFICIAL TITLES.
page 3	LIFE IN HONGKONG.
page 3	THE PRESENT STATE OF THE PANAMA CANAL.
page 3	TELEGRAMS BY THE GERM AN MAIL.
page 3	THE FRENCH MINISTERIAL PROGRAMME.
page 3	THE 'COLOGNE GAZETTE' IN TROUBLE.
page 3	THE IRISH EVICTIONS BILL REJECTED IN THE HOUSE.
page 3	THE HANSARD UNION CASE.
page 3	THE ARMY RSTIMATES: INOREASE OF EIGRTY-SIX THOUSAN STERLNG.
page 3	RISE IN THE PRICE OF COALS.
page 3	DEATH OF SIE JOHN COODE.
page 3	AMERICAN PURCHASES OF SILVER.
page 3	NEXT YRAR.
page 3	MR. GLADSTONE RETURNS TO LONDON.
page 3	OPIUM SITES.
