page 2	As honest well-wishers of Creat Britain, and as true subjects of our beloved Queen Victoria, most of onr readers would be only roo glad to believe that the Old Country has bcen pormitred to take the position in.
page 3	CANTON NOTES.
page 3	THE RICE CROP.
page 3	REMOVAL OF BRITISH CONSUL.
page 3	A DISGCSTING DISCOVERY.
page 3	THE PLAGUE.
page 3	EXTENSIVE FORGERY OF BANK NOTES.
page 3	ARRESTS AT SINGAPORE.
page 3	THE KING'S OWN REGIMENT.
page 3	SINGING COMPETITION.
page 3	SAD DEATH OF A NURSING SISTER.
page 3	A VICTIM TO THE PLAGUE.
page 3	COLLISION IN THE HARBOUR.
page 3	INTERRUPTION TO KOWLOON FERBY SERVICE.
page 3	NOTES FROM AMOY.
page 3	NEW ORGAN FOR THE CHAPEL.
page 3	ENTERTAINMENTS.
page 3	STEAM-SHIP FREIGHTS.
page 3	KULANGSU MISSIONARY HOSPITAL.
page 3	DEPARTURE OF PRINCE HENRY OF PRUSSIA.
page 3	REPORTED ASSAULT ON H.E. LI HUNG-CHANG.
page 3	THE POWERFUL AGAIN IN PARLIAMENT.
page 3	THE QUESTION OF NAVAL BASES.
page 3	EXPERT OPINION.
