page 2	WITH the fall of Weihaiwei the situation in the Far East might be expected to have undergone material change during the past month. This natural expectation, however, is not borne out by fact.
page 3	THE PROPOSED MONETARY CONFERENCE.
page 3	THE BRITISH-AUSTRALIAN CRICKET MATCH.
page 3	THE HON. T. H. WHITEHEAD'S MEMORIAL FOR REPRESENTATIVE GOVERNMENT IN HONGKONG.
page 3	REINFORCEMENTS FOR NANKING.
page 3	LI HUNG CHANG LEAVES FOR JAPAN.
page 3	CAMPAIGNING IN SHANTUNG.
page 3	FOREIGNERS WITH THE JAPANESE ARMY.
page 3	ON THE ROAD TO WEIHAIWEI FEEBLE RESISTANCE BY THE CHINESE.
page 3	THE MOVEMENTS IN MANCHURIA.
page 3	GOOD WORK RECOGNISED.
page 3	THE SUFFERING TRADE.
page 3	CHINA'S INLAND FLEET.
page 3	THE RAILWAYS FOLLOW THE STEAMERS -- TO GERMANY.
page 3	THE PEACE MISSION.
page 3	IMPORTANT SPEECH BY LORD HARRIS.
page 3	AMERICA'S CUP BOAT.
page 3	TRAGEDY IN CONSTANTINOPLE.
