page 1	MONEY LENDING DISCOURAGED.
page 4	BRITISH POLITICS.
page 4	"AT HOME" ON H. N. S. 
page 4	HONINGIN REGENTES.
page 4	HONGKONG GOVESNMENT PAPER CURRENCY.
page 4	INTERESTING PROSECUTION.
page 4	False Sanitary Board Orders.
page 4	BEFORE THE BATTLE.
page 4	INTERESTING POLITICAL SPEECHES.
page 4	IRISH LAND BILL.
page 4	HOUSE OF LORDS COMPROMISE.
page 4	GOVERNMENT READY TO FIGHT.
page 4	MR. HALDANE SPEAKS OUT.
page 4	CHINESE NAVAL COMMISSIONERS.
page 4	THEIR RECEPTION IN EUROPE.
page 4	RINCEITO'S MURDERER.
page 4	SENTENCE OF DEATH.
page 4	CHINA'S FINANCIAL PROBLEM.
page 4	NO PREMIUM BONDS.
page 4	DALAI LLAMA AGAIN PROJECTED VISIT TO RUSSIA.
page 4	CLAIM FOR WORK DONE.
page 4	A SLANDER ACTION.
page 5	MAORI FOLK-LORE.
page 5	"THE MARRIAGE OF KITTY."
page 5	WIRELESS TELEGRAPHY IN HONGKONG.
page 5	THE INTERPORT FESTIVAL.
page 5	Revised Programme.
