page 2	WE are getting hotter, as the children say in their games of hide and seek. Everyone has been anxious to disclaim responsibility for the Prays Reclamation Ordinance, and we are reduced at last to the Attorney General.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	PORT ARTHUR.
page 3	NOTES FROM NATIVE PAPERS.
page 3	SHANGHAI LAND INVESTMENT COMPANY, LD.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	IMPERIAL INSTITURE,-GRAND INAUGURAL BANQUET.
page 3	LORD TENNYSON'S HEALTH.
page 3	M. GREVY AND THE FRENCH REPUBLIC.
page 3	THE BEADFORD MURDER CASE.
page 3	AMERICAN DIPLOMATIC APPOINTMENTS.
page 3	AMERCIA AND CANADA.
page 3	THE FARIS PATRICTIC LEAGUE.
page 3	INTENDED CANADIAN SUBSIDLES.
page 3	THE PANAMA CANAL.
page 3	ILLNESS OF AOTRESSES.
page 3	QUEEN NATHALIS.
page 3	THE ATCHINOFF EXPEDITION DEPORTED.
page 3	ACOAL SYNDICATE.
page 3	EXPULSION OF BOULANGISTS FROM FRANCE.
page 3	THE FARNELL COMMISSION.
page 3	THE DIFFICULTY IN SAMOA.
page 3	MISCELLANEOUS.
page 4	TO A SLEEPING RICKSHAW COOLIE.
page 4	NEWS BY THE AMERICAN MAIL.
page 4	A DINNER AT THE FRENCH EMBASSY.
page 4	FRENCH GOSSIP.
page 4	LONDON GOSSIT.
page 4	ROBERT LOUIS STEVENSON WRITES HOME ABOUT SAMOAN AFFAIRS.
page 4	WHY HE DID NOT GO TO THE HOSPITAL.
