page 2	The deadleck which continues to exist in connection with the Jublee Road is beginning to weary the subseribers.
page 3	The Advance and Capture of Bloemfontein.
page 3	Other Casualties.
page 3	The White Flag Abuse.
page 3	The Interview with General White.
page 3	Testimonial to Colonel Baden-Powell.
page 3	Civic Honours.
page 3	The Celonies and the Empire.
page 3	Preparing for a Last Stand.
page 3	The Bloemfontein to Pretoria Route.
page 3	Dissatisfaction in Scotland.
page 5	KRUGER PRESIDENT AND GENERAL.
page 5	THE BOER PLAN OF CAMPAIGN.
page 5	PROPOSED CONCENTRATION ON PRETORIA.
page 5	DISSENSION AMONGST THE BOERS.
page 5	COMMANDANT PRINSLOO ARRESTED.
page 5	THE DUNDEE COLLIERIES DESTROYED.
page 5	RUSSIA IN THE FAR EAST.
page 5	LAUNCH OF A JAPANESE CRUISER.
page 5	THE WAR --- THE ORANGE FREE STATE.
page 5	GREAT BRITAIN AND FRANCE.
page 5	THE UNIVERSITY SPORTS.
page 5	GREAT BRITAIN AND CHINA.
page 5	KWONGCHAU WAN REWARDS.
page 5	GENERAL GATACRE.
page 5	THE ASSAULT ON M. LOUBET.
page 5	FRANCE AND GREAT BRITAIN.
