page 2	Though Christmas Day did not arrive accompanied by the traditional ice and snow, it was cold enough to be seasonable and dry enough underfoot to make visiting a master of comfort.
page 4	THE RUSSIAN SENSATION.
page 4	SERIOUS ALLEGATIONS AGAINST THE POLICE.
page 4	SHUM GROWING IN FERVOR.
page 4	YUAN SHI-KAI DESIRES TO TRAVEL.
page 4	TO PREVENT NEPOTISM.
page 4	PRUNING THE CIVIL SERVICE.
page 4	A SOUTH AFRICAN TANGLE.
page 4	WHERE SHALL THE CAPITAL BE PLACED?
page 4	THE FRENCH NAVY.
page 4	PLANS FOR REORGANISATION.
page 4	TANG SHAO-YI IN ENGLAND.
page 4	RECEIVED AT THE FOREIGN OFFICE.
page 4	JAPAN'S FOREIGN POLICY.
page 4	CRITICISMS ON COUNT KOMURA'S SPEECH.
page 4	The Fakumen Railway Affair.
page 7	HOW THE CHINESE PEOPLE LIVE.
page 7	A British Consul's Report.
