page 2	REUTER informs us that, in a statement to the House of Commons, Mr Balfour announced that the United States had notified their inftention of adhering to the Treaty of Paris, but that Spain had as yet made.
page 3	SPAIN AND THE UNITED STATES.
page 3	ACCIDENT TO THE STEAMER SISHAN.
page 3	SAINT GEORGE'S DAY.
page 3	'TROOPING THE COLOURS.'
page 3	SEIZURE OF A SPANISH VESSEL.
page 3	FORMATION OF A FLYING SQUADRON.
page 3	THE ASIATIC FLEET.
page 3	AMOY NOTES.
page 3	A BALD MASQUE.
page 3	THE FLOWER SHOW.
page 3	WHY WOOSUNG WAS OPENED.
