page 2	BUT for the rain which has fallen since Friday last, the colony would now be in a sorry plight as regards its water supply.  The 'Water Authority' would have been at his wits' end and the public would have lost all confidence in the great 'Tytam Dam'.
page 3	THE KAISER'S VISIT TO VENICE.
page 3	UGANDA.
page 3	THE AMERICAN TARIFF BILL.
page 3	A BOMB EXPLODED IN A FRENCH CHURCH.
page 3	MR. CHAMBERLAIN AND LORD ROSEBERY.
page 3	PATRIOTIO HIOTS IN BUDA PESTN.
page 3	THE INSURRECTION IN BRAEIL.
page 3	INDIA AND THE SANITARY CONFESTION.
page 3	THE MEDICAL CONGEESS AT ROME.
page 3	RUSSIA IN CENTRAL ASIA.
page 3	THE MEETING OF EMPEROES.
page 3	MANCHESTER AND INDIAN FINANCE.
page 3	THE DEATH OF COMMANDER IN CAMERON.
page 3	CLOISTER SCRATCHED.
page 3	TE HINISTRRIAL THE ELECTIONS.
page 3	THE CANADIAN TARIFF.
page 3	THE BKHSING SRA AWARD.
page 3	FRESH FIGHTING AT TIMDUCTCO.
page 3	THE INDIAN BUDGET.
