page 1	THE governor General of Changing hems under pressure from the German Consul at Canton prohibited the further circulation of the infamous ant Christian pamphlet by the literary chan
page 3	THE ARMENIAN RIOTS AT CONSTANTINOPLE.
page 3	THE BRITISH NAVAL DEMONSTRATION.
page 3	THE JAPANESE MERCANTILE MARINE.
page 3	GOVERNMENT ENCOURAGEMENT.
page 3	'WAS ISRAEL EVER IN EGYPT?'
page 3	A PHILANTHROPIST'S PROPERTY DISCUSSED.
page 3	ANOTHER CYCLING BFCORD GONE.
page 3	LORD DUNRAVEN'S SAILORS TO BE PENSIONED IF THEY WIN  THE CUP.
page 3	PATRIOTISM RUN RIOT.
page 3	ANOTHER JACK THE RIPPER MUREDEE IN LONDON.
page 3	CECIL RHODES ILL.
page 3	ACCIDENT TO THE NEW BRITISH BATTLESHIP.
page 3	GERMANY REFUNDING HER DEBT.
