page 2	THE question, whether sea water is suitable for street-watering and sower-flushing, has been frequently discussed in this Colony. We cannot see what rational objections can be taken to the.
page 3	THE CHINA-JAPAN WAR.
page 3	TELEGRAMS FROM PEKING.
page 3	THE CRISIS IN FRANCE.
page 3	NEW YEAR HONOURS.
page 3	CRICKET IN AUSTRALIA.
page 3	NEW PERMANENT UNDER SECRETARY FOR WAB.
page 3	BRITISH REVENUE RETURNS.
page 3	THE LATE PREMIER OF CANADA.
page 3	BULGARIAN AFFAIRS.
page 3	THE ANGLO-RUSSIAN RAPPROCHEMENT.
page 3	MR GLADSTONE ON THE ARMENIAN ATROCITIES.
page 3	THE INDIAN FRONTIERS.
page 3	UNITED STATES EXCHEQUER RETURNS.
page 3	RUSSIAN AFFAIRS.
page 3	ANOTHER DUTCH CAMPAIGN IN THE EAST.
page 3	SUGGESTED REFORMS IN ARMENIA.
page 3	THE MURDER OF COL. MONEY.
page 3	WAZIRISTAN EXPEDITION -- BRITISH OFFICERS WOUNDED.
page 3	DEAPH OF THE MAHARAJAH OF MYSORE.
