page 3	PATENTEES' PROFITS AND THE PROLONGATION OF PATENTS.
page 4	Notes by the Way.
page 4	The Typhoon.
page 4	Concert at Kowloon.
page 4	A 'White Ball.'
page 4	Cholera at Singapore.
page 4	Tennis at Singapore.
page 4	Christian Officials for China.
page 4	Ghost-Raising.
page 4	Great Proclamation Durbar.
page 4	Artillery Officer Assaulted.
page 4	A Distinguished old Marlburian.
page 4	Football Notes.
page 4	Departure of Sir John Carrington.
page 4	The Sanitary Petition.
page 4	'Shunt Him!'
page 4	Sad Death at Colombo.
page 4	The Operations Against Botha.
page 4	GREAT BRITAIN AND TURKEY IN THE PERSIAN GULF.
page 4	THE WRECK OF THE 'COBRA.'
page 4	A Bluejacket's Heroism.
