page 2	SCOTTISH LETTER.
page 4	TURE GOWN DOOMED.
page 5	 XOMPANY MEETING.
page 5	The China Provident Loan and Mortgage Co. Ltd.
page 6	MILITARY MOVEMENTS.
page 6	CANTON MILITARY TROUBLES.
page 6	THE COAL LOUTLOOK.
page 6	OWNERS AND A MINIMUM WAGE.
page 6	THE PREMIER INTERVENES.
page 6	SPECULATION.
page 6	PRECAUTIONS.
page 6	PREMIER'S INVITATION ACCEPTED.
page 6	SUCCESS FOR THE MEN.
page 6	THE INTERNATIONAL A PECT.
page 6	ANGLO-GERMAN FRIGNDSHIP
page 6	A SPLENDID OUTLOOK.
page 6	NOTED DIVINE'S DEATH.
page 6	THE BRITISH ARMY.
page 6	LORD HALDANE'S DEFENCE.
page 6	AUSTR LIAN CRICKET QUARREL.
page 6	FRENCH RAILWAY DEVELOPMENT.
page 6	CHINA'S NEW PRESIDENT.
page 6	HOME POLITICS.
page 6	OPPOSITION AMENDMENT REJECTED.
page 6	AU TRIA'S FINANCE MINISTER.
page 6	ANOT ER COTTON FIRE.
page 6	BIG AMERICAN STOCKS DESTROYED.
page 6	THE NAVAL PR ZE BILL.
page 6	TO-BE AGAIN IETROBUCED.
page 6	INDIAN PRINCESS'S MARRIAGE.
page 6	WEDDED TO WELL-KNOWN ENGLISHMAN.
page 6	VOLUNTEER NOTES.
page 7	THE RACES.
page 7	DERBY DAY.
page 7	WHITE HAWTHORN WINS CLASSIC EVENT.
page 7	CHINA FIRE INSURANCE COMPANY LIMITED.
page 7	AMOY NOTES.
page 7	CANTONS NEXT VICEROY.
page 7	I DO-CHINESE FRONHER.
page 7	Speech by-Lord Curxon.
