page 2	The Art Journal for January is a good average number, with a fine engraving of the late Sir John Millais Famous picture Chill October a beautiful bit of Tay scenery a few miles below Perth. Millais.
page 3	THE SITUATION IN UGANDA.
page 3	FRANCE, TURKEY AND EGYPT.
page 3	FRENCH NAVAL BUDGET CRITICISED.
page 3	RAUB.
page 3	THE NAVY LEAGUE.
page 3	THE FLEETS IN THE FAR EAST.
page 3	IMPERIAL DEFENCE.
page 3	ELECTION NEWS.
page 3	THE ENGINEERS STRIKE.
page 3	THE DREYFUS CASE.
page 3	INDIAN FRONTIER REWARDS.
page 3	MR. GLADSTONE.
page 3	THE FRAUDS BY LORD W. NEVILL.
page 3	MR. LANDOR'S ADVENTURES.
page 3	THE ECLIPSE.
page 3	ARMY APPOINTMENTS.
page 5	RUSSIA OCCUPIES MANCHURIA.
page 5	CHINESE OFFICIAL DENIA I.S.
page 5	COREAN NOTES.
page 5	THE BRITISH FLEET.
page 5	THE FINANCIAL ADVISERSHIP.
page 5	THE RAILWAY.
page 5	BULK PETROLEUM.
page 5	A NEW SYNDICATE.
