page 2	ON Saturday we published from the N. C. Daily News of the 19th inst. The translation of a letter from the Korean King to the president of the United States. The letter very effectually makes known that Koren that Koren has thoroughly disembarrassed herself of the preposterous and most insolent stiipulations extorted by Inonye and Kuroda.
page 3	DRUNK AND INCAPABLE
page 3	ASSAULT.
page 3	THE RESULT OF DEFENDING AN OLD MAN.
page 3	LARCENY OF A JACKET.
page 3	THE SERIOUS FRACAS IN JARDINES BAZAAR.
page 3	PETTY LARCENY.
page 3	THROWING RUBBISH INTO THE HARBOUR.
page 3	DRUNK FIREMEN.
page 3	CREATING A DISTURBANCE IN A HOUSE IN GRAHAM STREET.
page 3	UTTERING COUNTERFEIT DOLLARS.
page 3	ASSAULT ON AN USHER.
page 3	A DISTURBANCE.
page 3	THEFT OF A PAIR OF TROUSERS.
page 3	COMMITTED FOR TRIAL.
