page 2	The publication of the new Treaty of commerce and navigation between Great Britain and Japan hes called forth an almost unanimous expression of disapproval from the foreign community in Japan.
page 3	DEATH OF THE COMTE DE PARIS.
page 3	THE CHINA-JAPAN WAR.
page 3	CHOLERA IN EUROPE.
page 3	RUSSIAN RAILWAYS IN ASIA.
page 3	DEGRADATION OF THE CHINESE ADMIRAL TING.
page 3	AN ARMISTICE IMPENDING.
page 3	HOW CHINA WING HER VICTORIES.
page 3	THE CHUNGKING AFFIR.
page 3	EXPLOBING WAR BUBBLES.
page 3	TREATY BETWEEN JAPAN AND COREA.
