page 2	WE have been informed that the reference made by a correspondent "p." to Dr Wharry's action against the Chaplains visiting the Civil Hospital does not quite convey the real facts.
page 3	ROBBERY AND ATTEMPTED MURDER.
page 3	ATTEMPTED SUICIDE.
page 3	DRUNKENNESS.
page 3	DARING ROBBERY.
page 3	DISOBEDIENT BOATMEN.
page 3	TO HOUSEKEEPERS.
page 3	TO-DAY'S FINES.
page 3	CHAEGE OF SELLING SPURIOUS BRANDY.
page 3	ARRIVAL OF THE AMERICAN MAIL.
page 3	TELEGRAMS.
page 3	China.
page 3	NEWCHWANG.
page 3	Japan.
page 3	The Straits.
