page 2	THE all-absorbing topic of conversation in nearly every circle in the East is the sharp decline in silver and the dreaded further decline in value of the white metal.
page 3	NEWS BY THE FRENCH MAIL.
page 3	THE 'FIGARO' ON BRITISH RULE IN EGYPT.
page 3	THE REPORT OF LORD HERSCHELL'S COMMITTEE.
page 3	CRICKET-MIDDLESEX VS. NOTTINGHAM.
page 3	GREAT BRITAIN AND THE BOERS.
page 3	TEETOTAL MEETING IN HYDE PARK.
page 3	RESULT OF THE 'GRAND PRIX.'
page 3	A RISING OF CONVICTS AT CAIRO.
page 3	THE 'TIMES' AND THE INDIAN CRICKETER.
page 3	LORD SALISBURY ON THE PARALYSIS IN PARLIAMENT.
page 3	ENGLAND AND THE KHEDIVE'S VISIT TO THE SULTAN.
page 3	PRESIDENT CARNOT ILL.
page 3	THE ASCOT STAKES.
page 3	THE LOADLINE OF FOREIGN VESSELS.
page 3	ENGLAND AND THE EGYPTIAN GOVERNMENT.
page 3	THE CONDITION OF IRELAND.
page 3	THE RECENT SHIPMENTS OF GOLD TO AUSTRALIA.
page 3	LARGE GOLD DEPOSITS FROM AMERICA.
