page 2	We are pleased to note that the Committee of the City Hall have decided to keep the Library open in future until 11 p.m.
page 4	THE GERMAN NAVY.
page 4	THE TRUB FUNCTION OF EDUCATION.
page 5	THE WAR --- MAFEKING.
page 5	THE FREE STATE.
page 5	ARRIVAL OF THE CROWN PRINCE OF JAPAN IN EUROPE.
page 5	COLONIAL COMMISSIONS IN THE BRITISH ARMY.
page 5	CHINA AND THE POWERS.
page 5	THE WAR --- METHUEN'S COLUMN.
page 5	THE PLAGUE IN INDIA.
page 5	NOTES FROM THE CHINESE CAPITAL.
page 5	A CHINA-JAPAN ALLIANCE.
page 5	RUSSIA AND JAPAN.
page 5	SHANTUNG.
page 5	THE IMPERIAL UNIVERSITY.
page 5	Bubonic Plague in Brazil.
page 5	The Nicaraguan Canal.
