page 2	WE rejoice to see that the missionaries in North China are taking united and energetic measures to press forward the question of Foreign missions in China. The recent riots at Chengtu, Kating.
page 3	THE GENERAL ELECTIONS.
page 3	THE CHINESE LOAN.
page 3	BISLEY -- THE QUEEN'S PRIZE.
page 3	COLLISION IN GULF OF SPEZZIA.
page 3	TONKIN.
page 3	DISESTABLISHMENT IN FRANCE.
page 3	FRANCE AND SIAM.
page 3	FRANCE AND SPAIN.
page 3	THE TONKIN PIRATES.
page 3	NEWS FROM SOUTH FORMOSA.
page 3	AN OPINION FROM JAPAN.
page 3	ICHANG.
page 3	RUSSIAN INTRIGUE IN COREA.
page 3	MILITARY ACTIVITY IN CHINA.
page 3	ITALY AND ABYSSINIA.
page 3	ENGLAND'S ASIATIC GUEST.
page 3	KENGTUNG -- A MILITARY ROAD TO BE MADE.
page 3	THE SIBERIAN RAILWAY.
