page 2	ACCORDING to the official statistics of New Zealand for the year 1876, which have just reached us, the trade between China and that Colony during the period in question does not appear to have flourished.
page 3	THE LATE MR. ALEXANDER.
page 3	THE INTERPRETATION QUESTION.
page 3	ALLOWANCES.
page 3	INSPECTOR OF MABKETS.
page 3	EDUCATION.
page 3	GOVERNMENT BUNGALOWS.
page 3	THE CENTRAL SCHOOL.
page 3	THE FAMINE IN THE NORTH.
page 3	Police Intelligence.
page 3	CUTTING TREES.
page 3	DRUNKENNESS.
page 3	FEROCIOUS DOGS.
page 3	China.
page 3	SHANGHAI.
page 3	TIENTSIN.
page 3	NEWCHWANG.
page 3	Japan.
