page 2	According to advices from Manils, the natives have been roused to a state of consternation by the news that has been eirculated.
page 3	THE WAR --- CAPE COLONY.
page 3	THE WAR --- RE-INFORCEMENTS.
page 3	MODDER RIVER.
page 3	BOER LOSSES.
page 3	LADYSMITH.
page 3	GERMAN BARQUE SEIZED.
page 3	RE-INFORCEMENTS.
page 3	THE GERMAN SEIZURES.
page 3	THE MAT SALLEH REBELLION.
page 3	British Transport Arrangements.
page 3	Steyn's Brother Deserts.
page 3	The 'Open Door' at Delagoa Bay.
page 3	The Fighting at Sunnyside.
page 5	The Cotton Crisis in Bombay.
page 5	Army Medical Officer Mauled.
page 5	Plague Outbreak Near Allahabad.
page 5	Indian Council Bills.
page 5	The Newfoundland Fisheries Question.
page 5	The Indian Famine.
page 5	The Indian Tea Export.
page 5	Filling up the Vacancies.
page 5	Transvaal War Fund.
page 5	Bank of Calcutta.
page 5	The Presidency Banks in India.
page 5	Ceylon Tea in London.
page 5	Miscellaneous.
