page 2	MANY lessons may be learnt from the trial of Groom versus Benjanmjn, Kelly, & Potts.Many of the inferences may be drawn by the public, as they are manifest enough on the face of the proceedings. But the.
page 3	CHINA'S LATEST LOAN.
page 3	THE SECURITY.-NO GOVERNMENT GUARANTEE.
page 3	FRANCH AND CHINA.
page 3	REPORTED LANDING OF THE FRENCH 240 MILES SOUTH OF HONGKONG.
page 3	GERMANY AND CHINA.
page 3	CESSION OF ADDITIONAL TERRITORY.
page 3	JAPAN, CHINA AND RUSSIA.
page 3	THE PORT ARTHUR QUESTION RAISD BY JAPAN.
page 3	THE STORMY PETREL OF COREAN POLITICS.
page 3	DEATH OF THE TAI WON KUN.
page 3	THE ZOLA TRIAL.-SENTENCE.
page 3	GREAT BRITAIN AND ERANCE IN AFRICA.
page 3	THE OPENING UP OF CHINA.
page 3	THE 16,000,000 POUNDS CHINA LOAN.
page 3	EXTRAORDINARY DIPLOMATIC DOINGS.
page 3	RUSSIA AND FRANCE 'ON SENTEY' AT THE YAMEN.
page 3	THE CHARTERED COMPANY.
page 3	DEATH OF A BRITISH OFFICER.
page 3	THE COMMANDER-IN-CHIEF.
page 3	MILITARY APPOINTMENT.
page 3	POLO.
page 3	SERIOUS OUTLOOK AT UGANDA.
page 3	THE N.-W. FRONTIER.
page 3	THE TRIAL OF GUNNER PIPER.
page 3	BOMBAY CHAMBER OF COMMERCE AND EXCHANGE.
