page 2	THE Little Independent of Macao is again in hysterics over the China Mail.The chief cause of grief this time appears to be that in an editorial article quoted from the Melbourne Argus, a Victorian.
page 3	LOCAL.
page 3	TO-DAY'S POLICE.
page 3	SUPREME COURT.
page 3	CRIMINAL SESSIONS.
page 3	THE NORTH.
page 3	ARRIVAL OF THE ENGLISH MALL.
page 3	THE WAR IN NEW ZEALAND.
page 5	DOCKS.
page 5	HONGKONG AND WHAMPOA DOCK COMPANY,LIMITED.
page 5	FOOCHOW GRANITE FLOORED DOCK.
page 5	THE UNION DOCK COMPANY OF HONGKONG AND WHAMPOA,LIMITED.
