page 2	THE information which reaches us this afternoon from Shanghai, announcing the arrangements between Japan and Russia with regard to the Liaotung peninsula and between Japan and.
page 3	AUSTRO-HUNGARY.
page 3	THE ANTICIPATED TROUBLE IN FORMOSA.
page 3	THE CHINA-JAPAN TREATY.
page 3	OSCAR WILDE.
page 3	THE NICARAGUA DIFFICULTY.
page 3	CHOLERA IN BATTAMBONG.
page 3	THE EXCHANGE OF RATIFICATION OF THE TREATY OF PEACE.
page 3	LI HUNG CHINA PROCEEDS TO CHEFOO.
page 3	THE JAPANESE AND THE LIAOTUNG PENINSULA.
page 3	ABANDONMENT OF PORT ARTHUR.
page 3	WILL CHINA OR RUSSIA GET IT?
page 3	REPORTED FRENCH PROTECTORATE IN FORMOSA.
page 3	A DOUBTFUL RUMOUR.
page 3	MR FOSTER'S DEPARTURE FORM PEKING.
page 3	SECRET MEMORIALS.
page 3	THE -- PEACE TREATY RATIFIED.
page 3	THE RUSSIAN FLEET.
page 3	CHOLERA AT THE PESCADORES.
page 3	AN APPALLING EPIDEMIC.
page 3	SANITARY DEFEOTS OF JAPANESE CAMPS.
page 3	AN ESTIMATE OF JAPANESE PROWESS.
page 3	THE FLOWING TIDN.
page 3	CHOLERA AT MECCA.
page 3	BRITAIN AND RUSSIA.
