page 2	A FEW days ago we published an editorial note from the London and China Express in which serious allegations were made against European officers and captains on the China coast.
page 3	THE CRISIS IN COREA.
page 3	DEATH OF THE QUEEN.
page 3	TURKEY AND THE POWERS.
page 3	THE FRENCH IN MADAGASCAR.
page 3	ITALY IN APLICA.
page 3	THE NEW GRANT VIZIER.
page 3	A SUCCESSFUL EXPEDITION TO MOMBASSA.
page 3	CHUNGKING.
page 3	FOREIGNERS WELL CARED FOR.
page 3	AT CHENGTU.
page 3	THE CHENGTU SETTLEMENT.
page 3	MORE QUESTIONS.
page 3	WHEN?
