page 2	IT is now a year since the present rebellion broke out in the Philippine Islands, and our latest advices from Manila point to the conclusion that not only are the rebels still in the field unsubdued but that their forces.
page 3	THE NORTH-WEST FRONTIER.
page 3	THE POWERS AND LORD SALIS-BURY'S PROPOSALS.
page 3	THE FRANCO-RUSSIAN TREATY.
page 3	STRENGTHENING THE FRENCH NAVY.
page 3	ITALY AND GERMANY.
page 3	INDIA.
page 3	ANOTHER ANARCHIST OUTRAGE.
page 3	THE WEST RIVER.
page 3	ATTACK ON THE HONGKONG CHAMBER OF COMMERCE.
page 3	THE LOSS OF THE ADEN.
page 3	FINDING OF THE COURT OF ENQUIRY.
page 3	THE ENGINEERS' STRIKE AT SINGAPORE.
page 3	PETERHOF.
page 3	THE HOME OF THE EMPEROR OF RUSSIA.
page 3	JAPAN AND IMPORTED SUGARS.
page 3	PROPOSED INCREASE OF DUTY.
page 3	NAVAL SQUADRONS IN THE FAR EAST.
page 3	MEDICAL INSPECTION IN ENGLAND.
page 3	REVOLUTIONISING THE SOUDAN.
page 3	THE ENGINEERS' DISPUTE.
page 3	MILITARY APPOINTMENT.
page 3	FIGHTING IN UGANDA.
page 3	THE ROYAL VISIT TO IRELAND.
page 3	THE INDIAN FRONTIER RISING.
page 5	HE DID NOT GO TO AUSTRALIA.
page 5	THE JAPANESE BUDGET DEFICIT.
