page 2	THE China Mutual Company's new steamer Chingwo, from Newport and Liverpool, passed the Canal today, the 15th instant, and may be considered.
page 3	DIFFERENTIAL DUTIES IN CHINA.
page 3	LETTER TO THE BRITISH MINISTER.
page 3	THE COREAN QUESTION.
page 3	THE CHINA-JAPAN WAR.
page 3	THE MARRIAGE OF THE CZAREWITCH.
page 3	REINFORCEMENTS FOR THE BRITISH EASTERN SQUADRON.
page 3	THE PROTECTION OF BRITISHERS IN CHINA.
page 3	FRENCH AMBASSADOR IN LONDON.
page 3	BRITISH REINFORCEMENTS FOR CHINA.
page 3	FRENCH REINFORCEMENTS.
page 3	MARTIAL LAW AT THE IMPERIAL HEADQUARTERS IN JJPAN.
page 3	THE COINAGE OF A BRITISH DOLLAR.
page 3	OFFICIAL ANNOUNCEMENT.
page 3	DISCEEDITABLE BRITAIN.
page 3	THECHINESE RESPECT JAPANSEE FIGHTING POWERS.
page 3	NEWS FROM THE NORTH.
page 3	FEARS IN PEKING.
page 3	A RUSSIAN FORCE AT POSSIET.
page 3	JAPANESE FLEET ON PATROL.
page 3	THE BASIS OF A TELEGRAM.
