page 2	MUCH natiafaction is felt in Hongkong over the beatowal of knighthood upon Mr. Thomas Jackson, the Chief Mansger of the Hongkong and Shanghai Bank, We understand that the first intimation was received.
page 3	SIR TROMAS JACKSON.
page 3	MANAGER OF HONGKONG BANK HONOURED.
page 3	THE PLAGUE.
page 3	THE RESTRICTIONS AT SINGA PORE.
page 3	NO NEW CASES AT PENANG.
page 3	THE PEACE CONFERENCE.
page 3	THE DERBY.
page 3	MAJOR MARCHAND.
page 3	ITALY AND CHINA.
page 3	THE SITUATION IN THE PHILIPPINES.
page 3	THE DOMINANT POWER AT PEKING.
page 3	THE TRNTSIN-CHINKIANG RAILWAY.
page 3	THE BURMA-CHINESE FRONTIER.
page 5	Army News.
page 5	Fatal Railway Accident.
