page 2	MR Ryrie, if he did not do the most of the talking at the last meeting of Council, was certainly more in evidence than any of the other members. Unfortunately the Hon gentleman got up rather too much enthusiasm.
page 3	OLD NEWS.
page 3	SUPREME COURT.
page 3	IN APPELLATE JURISDICTION.
page 3	PASCOE V. MORGAN-NOTICE OF MOTION FOR LEAVE TO APPEAL.
page 3	PRESENTATION OF 'BELILIOS MEDALS' AND PRIZES.
page 3	REWARDS FOR SRAVERV.
page 3	DISTRIBUTION OF BELILIOS PRIZES TO SCHOLARS.
page 3	CANTON.
page 3	THE GOVERNMENT OF CEYLON.
page 3	A SEVERE IMPEACHMENT.
page 3	LATE TELEGRAMS.
page 3	A FRUITLESS ATTEMPT TO DEPOSE THE PRESENT SULTAN.
page 3	AUSTRIA'S EMPRESS.
page 3	STRIKES IN EUROPE.
page 3	VICTIMS OF AUSTRIAN FLOODS.
page 3	MARRIAGE OF AN INDIAN PRINCE.
page 3	AN OVATION TO CAPTAIN MURRELL.
page 3	TWENTY ONE PASSENGERS INSURED BY A COLLISION IN CANADA.
page 3	THE AUSTRIAN FLOODS.
page 3	VIOROEIES FOR HIPPOLVIS.
