page 2	Mr James Murray, M.P. for East Aberdeenshire, has, it is understood, intimated that it is not his intention to seek re-election for that constituency, the strain of Parlismentary work.
page 3	AN IMPOSSIBLE GUN.
page 4	THE ANTI-OPIUM MOVEMENT.
page 4	H.E. TANG SHAO-YI APPROACHED.
page 4	AN ACTOR'S SUICIDE.
page 4	DEAD PORTER MISTAKEN FOR CHANCELLOR.
page 4	RECEIVES OFFICIAL FUNERAL.
page 4	BRITAIN'S NAVAL POLICY.
page 4	MORE DREADNOUGHTS AND AN INCREASE OF 4,000,000 Pounds.
page 4	THE PAN-ANGLICAN THANK-OFFERING.
page 4	CHINA AND JAPAN EACH TO RECEIVE 30,000 Pounds.
page 4	ANGLO-GERMAN RELATIONS.
page 4	"EXTRAORDINARILY SATISFACTORY" CONFERENCE.
page 4	THE MACAO BOUNDARY.
page 4	AGREEMENT BETWEEN CHINA AND PORTUGAL.
page 4	JAPANESE MINISTER'S ARRIVAL IN LONDON.
page 5	CHINAMAN'S SUICIDE IN PARIS.
page 5	HOMESICKNESS THE CAUSE.
page 5	BRITISH NAVAL COMMANDS.
page 5	THE LINCOLN CENTENARY.
page 5	CELEBRATIONS IN AMERICA.
page 5	AN UNDESIRED APPOINTMENT.
page 5	CHINA'S NATIONAL DEBT.
page 5	CHINA'S IMPERIAL SEPULCHRE.
page 5	CHAN PIK'S DISMISSAL.
page 5	PROPOSED PREFERENCE FOR MANCHUS.
