page 2	In our correspondence column we reproduce a letter signed Anti-Jingo. The writer is inclined to take a pessimistic view of our troubles in South Africa. To that we take no excoption. Individual temperament.
page 3	THE RELIEF OF LADYSMITH.
page 3	GENERAL BULLER WILL MAKE ANOTHER ATTEMPT.
page 3	BOER ACTIVITY.
page 3	THE INCREASE TO THE ARMY.
page 3	Colonial Troops in Action.
page 3	The Truth about Spionkop.
page 3	White Blamed for Holding Ladysmith.
page 3	The Battle at Colenso --- The Mistakes.
page 3	Blunders at Belmont.
page 3	A Tribute from a Paris Paper.
page 3	Rosebery on the Situation.
page 3	Important Despatches from our Generals.
