page 2	IN The Multitude Of Counselors There In Not Always Wisdom, And Perhaps His Excellency Will Discover This When Be Comes To Consider The Rival Schemes For The Formation Of Volunteer Corps.
page 3	TELEGRAMS.
page 3	NEWS FROM MR STANLEY.
page 3	THE FRENCH GOVERNMENT AND THE BOUEANGISTS.
page 3	THE CHOLERA ON BOARD THE CALEDONIAN.
page 3	PRESIDENT CARNET.
page 3	THE SUEZ CANAL.
page 3	MR. GLADSTONE ON A POLITICAL TOUR.
page 3	IS HONGKONG STILL A FREE PORT?
page 3	THE STATUS OF FOREIGN MAIL STEAMERS.
page 3	GAMBLING CLUBS IN LONDON.
page 3	RISING IN CHEKIANG ORGANIZED BY A BUDDHIST PRIEST.
page 3	JAVA NEWS.
page 3	THE STORY OF PROFESSOR HOXLEYS LIFE.
page 3	AS TOLD BY HIMSELF.
page 3	THOMAS THE DOUBTER.
page 3	THE PROFESSOR'S FIRST POST MORTEM.
page 3	THE COMMENCEMENT OF THE AUTHOR'S CARRER.
page 3	A LIFE'S WORK.
page 4	MR GLADSTONE DINES WITH 'PUNCH.'
