page 2	THE war has entered upon an entirely new phase. After allowing the winter to pass without carrying on the campaign very actively, with the exception of the successful assault upon Weihaiwei.
page 3	THE ATTEMPTED ASSASSINATION OF LI HUN CHANG.
page 3	THE INFLUENZA.
page 3	THE DEFENCE OF AMOY.
page 3	BRITISH CRUISERS FOR FORMOSA.
page 3	NEWS FROM MANCHURIA.
page 3	THE PEACE MISSION.
page 3	PREPARATIONS FOR DEFENCE.
page 3	APPROACH OF THE JAPANESE.
page 3	SPOILS AT NEWCHWANG.
page 3	WHAT WILL BRITAIN DO?
page 3	NEWS FROM NEWCHWANG.
page 3	'GUP' FROM THE NORTH.
page 3	JAPAN'S SICK LIST.
