page 2	PEOPLE here will be glad to know that cholera at the outposts and in Japan appears to be on the decrease.  Our latest files from Yokohama show that the death-rate both there and in Tokio is decreasing.
page 3	A CANTON THIEF.
page 3	SNATCHING.
page 3	OBSTRUCTION.
page 3	A ROGUE AND VAGABOND.
page 3	NOT A CASE FOR THE SESSIONS.
page 3	AN OLD OFFENDER.
page 3	A "FISHY" CASE.
page 3	UNLAWFUL POSSESSION.
page 3	NEWS BY THE FRENCH MAIL.
page 3	THE MORMONS.
page 3	THE MODERN COSSACK IN ASIATIC AND EUROPEAN WARFARE.
page 3	NEWS BY THE AMERICAN MAIL.
page 3	MISCELLANEOUS.
page 3	SHANGHAI.
