page 2	IN submitting their protest against the passing of the Appropriation Ordinance for 1893, the Unofficial Members of the Legislative Council have touched incidentally on a number of questions.
page 3	POLITICAL CRISIS IN EGYPT.
page 3	GREAT BRITAIN AND MOROCCO.
page 3	POLITICAL CRISIS IN EGYPT.
page 3	GREAT BRITAIN AND MOROCCO.
page 3	THE EGYPTIAN CRISIS.
page 3	DARING ROBBDERY IN HONGKONG.
page 3	CANTON.
page 3	MISSING WORD COMPETITION.
page 3	THE UNOFFICIAL MEMBERS OF THE LEGISLATIVE COUNCIL.
page 3	CHINA AND THE UNITED STATES.
page 4	A BIRD'S EYE VIEW OF THE SAHARA.
page 4	'IT FEARS NEITHER ARMY NOR NAVY.'
page 4	A SCOTCHMAN'S PHILOSOPHY.
