page 1	社評法國行憲的新階段
page 2	代表繼續批評憲草邊疆民族呼籲自治大會提案本月七日截止
page 2	一統與均權下
page 2	代表吃點心日費八百萬馮震仙等建議移濟難民主席團決定即停止供應
page 2	邊疆代表意見憲草應保障少數民族地位
page 2	國大的側面
page 2	國大代表報到昨天續有兩人
page 2	對蔣主席國大致詞美國各報均甚重視
page 2	膠濟路積極搶修中西段修至岝山東段已過蔡家莊津浦線臨棘線通車情形良好
page 2	淮陰外圍激戰十里戰線上廬舍半邱墟
page 2	關於農村鬥爭中央社發表中共文件一爪
page 2	魯境共軍攻勢未已鄄城被攻入鄆城亦告急東北方面松花江岸有戰事
page 2	蘇報評論國大
page 2	張群勱邀張東蓀等來滬
page 2	張瀾將來滬
page 2	傳作義離京飛平轉張垣
page 2	綏靖區合作事業當局制定辦法公布實施
page 2	吳縣地院監犯越獄捕回兩名逃脫十一名
page 2	拆運日工廠我在籌備中
page 2	浙省徵實中央嚴令年內徵足
page 2	公務員的悲哀物價飛漲生活不了田澤民服墨水自殺
page 2	湘鄂等省田糧處長更迭駐瑞公使梁龍另有任用行政院昨日例會通過
page 2	打風蔓延到漢口克強中學歐傷三十餘名學生態德明被架走失蹤
page 2	浙省府將派員考核各縣政績
page 2	以上接第一版社評
page 3	聯大政委會通過議案要求弗朗哥交出政權
page 3	日本政治運動的分析
page 3	外長會議加速進行特港問題難關打破後五國和約將早日完成莫洛托夫急与返回莫斯科
page 3	蘇裁軍計畫過於狹窄報告軍備中只提到了原子彈康納利在聯大政委會予以指責維辛斯基答覆願列舉各種武器
page 3	英美軍事協定工黨議員也說有其事
page 3	英調解希紛爭勸反對派參加新政府供給武器事尚未決定
page 3	法國民議會社會黨任議長共黨與社黨分離
page 3	研究與工業
page 3	伊朗戰火亞省決抗政府軍
page 3	土關心希內戰怕新蘇份子在海峽得勢
page 3	倫敦舉行義賣大部充援華基金
page 3	法越尚未妥協河內疏散人口
page 3	德佔領區新政新姿英美兩區經濟合併兩國簽訂協定內容昨公布傳蘇聯考慮設置全德經濟制度
page 3	東北韓僑計畫遺歸
page 3	印局重要關頭尼赫魯等昨日抵倫敦即與區艾德禮首相晤談
page 3	關於印回關係非暴力主義失效甘地調處後談話
page 3	暹大使談中暹關係華僑在暹情形比較好轉兩國商務關係尚待改進
page 3	史達林的繼承人莫洛托夫有希望
page 3	美農業考察團第二批即將啟程來華
page 4	深圳不幸事件我外交當局進行交涉鄭文兩代表今晉省報告菲士廷向我方口頭道歉開槍英兵士昨已被扣留
page 4	週末甲組足球聯賽東南星中四路出師一五營好手離港難覓替身滬青白人馬明日大軍齊集
page 4	應付青白犯港足籃球賽程編定
page 4	外貨入口領証華商總會代辦擔保手續係受九龍關所託辦連日入會會員甚眾
page 4	消滅黑市效果物價大都趨跌市上各種物價業已漸入常軌
page 4	港九火車今晨暫停開昨基港快車延時
page 4	大量布疋廉價傾銷
page 4	公價恤衫將定期配售毛冷續配未有期
page 4	足球圈裏的禮貌上
page 4	毆打種痘師法庭施重罰
