page 2	社評彰侵略者之罪
page 3	領袖憫念被難災民渝市全體動員救濟災區範圍廣英法德領館被毀
page 3	贛鄂激鬥正酣Ｘ機濫炸東北江
page 3	Ｘ方的Ｘ言對外人財產不負責
page 3	新廣東的成長一宇寄自粵北
page 3	滬外商報紙處境益困難工部局分函通知宣言演說須受檢
page 3	唐桂林念之木蘭她怎樣露的馬脚
page 3	宜興激戰中城郊據點被我佔領
page 3	濟源又克復
page 3	蓮花壯丁自動請求從戎
page 3	Ｘ扣英輪英已提出抗議
page 3	駐滬Ｘ領再提無理要求當局暫守緘默
page 3	美大使在舊金山候輪昨晚廣播演說
page 3	昨日五五紀念中央舉行典禮滬上懸旗誌慶
page 4	波外長答覆德國決不放棄但澤對德覆牒昨日送出法決與波一致行動
page 4	德外長赴義會商波蘭問題圖使義為德政策後盾航空部長戈林亦抵義
page 4	德前國防部長格羅納逝世享年七十一歲
page 4	德拉攏北歐圖使各國在戰時守中立與拉國訂互不侵犯條約
page 4	英蘇談判張伯倫表示樂觀蘇外交政策不變
page 4	西康途中一雅安在新勢力中滋長着榮經的鐵需要積極開發
page 4	英徵兵法案在眾院提出二讀首相望早予通過
page 4	德義日三國軍事同盟柏林負責人士否認進行談判
page 4	美擴充海軍李海主加速造艦程序以便與日本保持平衡
page 4	日對歐政策五相會議已決定對各國保持友善
page 4	蘇聯取消新聞檢查外國駐蘇記者可以自由拍電
page 4	英王遊加招待程序已排定總理將親自迎接
page 4	羅外長由義抵南與南外長開始談話
page 4	英美正談判交換軍用原料法國軍事調查團正赴美購買軍火
page 4	英報女記者在德被逐
page 4	日本鐵荒本年短少五百萬噸造船程序大受打擊
page 4	短評波外長的演說
page 4	直布羅陀總督訪法屬摩洛哥
page 4	法前總參謀長魏剛抵羅京
page 4	法西鐵路會議再度展期舉行
page 5	西江Ｘ屢犯不逞主力現漸退返廣州高鶴交界各地已無Ｘ蹤江會之線Ｘ尚增援頑抗
page 5	粵參議員陸續抵韶將先開預備會
page 5	Ｘ機四日連續轟炸汕頭市成修羅場死傷數十毀屋甚多
page 5	請閱科學之正確理論
page 5	駐汕外領對Ｘ擾商輪之談話英領保持緘默避免肯定作答挪領聲言在外交上強硬反抗
page 5	英遠東海軍總司令諾貝爾過汕巡視災區
page 5	張發奎返粵北召黨政軍長官報告出巡經過興革要點
page 5	各地簡訊西江舉辦平糶
page 5	服完三友補丸一瓶面色紅潤精神舒爽續服三友補丸六瓶回復三年前之健康
page 5	特價八折尚有四天
page 6	全港青年明晚舉行慶祝青年節大會特請鍾天心江宗漢講演推行青年自新運動辦法
page 6	青年記者學會昨舉行國民宣誓許世英王曉籟蒞場監誓致詞勗勉務須身體力行
page 6	新亞綢廠一瞥人造絲織品日出三千碼原料購自英國品質高超
page 6	縫製短衣投承者多改期舉行知用中學捐一千套
page 6	中美文化協會港分會昨成立孫夫人及王正廷任名譽會長執委會下週首次集會
page 6	保良局新總理昨舉行就職典禮周俊年陳鑑坡致詞祝賀顏成坤致答詞蕭規曹隨
page 6	英賑華分會沿門勸捐決推舉隊長四十人婦女團體組特別隊
page 6	俠盜羅賓漢皇后平安重演
page 6	中藝四次公演九日起在普慶戲院舉行一連六天劇目極為精彩
page 6	鳳凰城中旅十二晚再演
page 6	出版界大地畫報
page 7	全英國硬地綱球我選手包辦決賽蔡惠全力戰海爾三比一獲勝造成我綱球史上未有之偉績
page 7	本屆棒球聯賽揭開第一幕今日葡萄牙首戰友啤隊
page 7	南華足球隊今日戰蔑威夫
page 7	全澳足球選手明日會戰東方四時半在香港會值得欣賞
page 7	小黑炭壯志淩雲
page 7	公開網球單雙打下週舉行決賽並定期舉辦義賽籌欵救濟難胞
page 7	外匯牌價仍不動英美匯市俱沉寂申匯市略見好轉買賣較少
page 7	股票市續有進展買戶需求殷切自動加價過去一週內成交四十餘萬元
