page 1	"社評從立法院的大赦案說起"
page 2	"襄陽苦戰兗州不守太原附近戰況激烈傳作義曾飛并晤閻錫山"
page 2	"運用美援辦法當局定了三項基本原則美援運用委會昨開首次會"
page 2	"何厚此布薄彼國大代表們致函翁文灝希望與立監委同樣支薪"
page 2	"款項尚未到手分配辦法擬定救濟特捐督導會昨舉行"
page 2	"聯合國獎學金中國得十二名"
page 2	"美援能復興中國嗎主其事者沒有把握"
page 2	"如何革新基層政治續完"
page 2	"司徒立門飛台中途折回上海"
page 2	"綜合審查預算昨天告一段落有人主張撤銷戡建委會"
page 2	"國民黨革新聲中劉不同一席談主張把資本家逐出黨去否則分為進步保守兩派"
page 2	"考委人選審查完了投票結果十人獲得同意另有九人將請另行提名"
page 2	"促訂和約案監院今審查"
page 2	"交大學生成績很好本屆畢業生半數找到職業工學院長王之卓對記者談話他已奉到部令代理校長職務"
page 2	"為了一張文憑沒當上大法官周蜀雲的悲哀"
page 2	"滬生活指數七月上半月的已發表"
page 2	"利用職權從事投機淞滬警備部數職員被扣"
page 2	"何處可安居馬來亞僑胞處境困難想要回國又怕沒職業暹羅僑生四百多人回來"
page 2	"蔣總統電省市首長勗勉積極改善政治深入基層排除苛擾"
page 2	"日戰犯兩名自東京解抵滬"
page 2	"小鈔變大鈔當局再度否認"
page 2	"全國最近人口內政部發行一月分統計共四億六千餘萬四川最多"
page 2	"宋希濓離新改任華中剿總要職"
page 2	"日船越界捕魚我將逕行處理向盟總屢次交涉無效"
page 2	"如何平物價只有不打仗本報滬館開座談會討論物價幣制問題"
page 3	"美民主黨大會任務完成杜魯門當選總統候選人柏克雷被提名為杜氏副手反對人權案南方代表退席"
page 3	"義大利全境動盪不安各地總罷工流血事件迭起共產議員提不信任政府案傳濱海區彭比諾城被共黨佔領"
page 3	"紐約通信大戶人家辦喜事一共和黨開第廿四屆全國代表大會"
page 3	"史達林電慰義共黨憤概陶里亞蒂被刺"
page 3	"新文字工作者目前的任務"
page 3	"英國經濟漸趨穩定課稅與控制游資均成功克里浦斯招待記者談話"
page 3	"美對聖地議案蘇聯表示支持"
page 3	"英工黨選舉皇后選了保守黨小姐"
page 3	"法工潮僵持罷工人數已超過十萬百萬公務員可能參加"
page 3	"蘇聯發表對英美法覆牒認為柏林局勢咎在三國限制運輸旨在保護蘇區經濟必要時蘇方資源供應柏林"
page 3	"卅年前戰場上的英雄潘興老將軍逝世纏綿病榻十載享年八十七歲"
page 3	"加爾各答富商漫遊全美羅馬尼亞蕩婦被除國籍大學生槍殺女軍官名棋手占勝老師傅"
page 3	"蘇駐委使館被暴徒襲擊"
page 3	"英增援馬來調遣港駐軍"
page 3	"南部黨員將開大會另推舉候選人競選"
page 4	"沙魚涌駐軍及關員昨日淩晨突遭襲擊駐軍及關員廿餘人受傷另有關員十五人已失蹤"
page 4	"九廣鐵路特別快車行車時間將可縮短杜鎮遠昨在港對記者說九月起全程只走四小時"
