page 2	日本對泰謠言進攻之後
page 3	冀省我軍大舉出擊平漢路西發生激戰長江沿岸砲兵擊沉日艦兩艘
page 3	泰國闢謠泰越邊境並未衝突日方消息全屬子虛
page 3	南京兩墟有人圖炸毀未成
page 3	雷鳴遠追悼會定本月廿九日舉行蔣委員長派員主持
page 3	日樞密院竟日會議僅松岡未出席
page 3	今日防空節全國熱烈舉行紀念陪都開始擴大宣傳
page 3	行政院會議甘肅省府局部改組李肇甫任川省府秘書長
page 3	日和平攻勢我決不理睬權威方面重申決心
page 3	津亞細亞公司職員罷工要求改待遇
page 3	滬美僑又撤退一批華盛頓噸昨日離滬美航空人員同輪赴菲
page 3	滬郊一新貴陳公博登場
page 3	美將加緊援華計劃大批貸款以便打擊日南進冒險
page 3	美權威教授促援華制日
page 3	孤島百態
page 3	湘平抑物價規定詳細辦法人民莫不歡欣
page 3	桂南急振積極進行中振會劃定救濟區簡任杜月笙氏兼顧
page 3	歐戰特約通訊大時代的巴黎11
page 3	滇節建儲團已正式成立收款業達百萬
page 3	中緬通郵商洽成功
page 3	高一涵抵蘭日內就監察使職
page 3	港越停航以後越商業受影響
page 3	日對越南提新要求圖獨佔資源礦產越軍在西貢一帶積極戒備
page 4	三國同盟添一配角匈牙利亦參加希特勒昨抵維也納
page 4	土耳其極鎮定準備應付一切
page 4	西國態度閃鑠桑納由德返國
page 4	團結衛國羅斯福向美工人呼籲
page 4	德克虜伯兵工廠被炸受重損德機報復又飛英國濫炸
page 4	粵義間諜在美活動愈趨激烈建造中新艦忽起火焚燒
page 4	菲國會議長謁羅斯福商修正憲法問題
page 4	加勒比海上美加緊防範阿根廷總統向美洲各國呼籲合作防禦抵抗外患
page 4	匈參加三國同盟
page 4	英陸次告國民勿松馳警戒澳洲表示傾力援助英國
page 4	英駐蘇大使訪維辛斯基
page 4	美國遠東政策應更強硬二
page 4	法對議要求表示憂慮法報乞憐口吻
page 4	希臘境內義軍全肅清科爾加仍在激戰中義軍紛紛逃入南境
page 4	在英國人眼中希特勒之外交
page 5	粵公路處指導成立商車聯營互助社在曲江興寧登記定廿七日成立全省商車編十隊輪流應付徵用
page 5	新會城郊激戰附日軍被我擊潰起出ＸＸ十餘人
page 5	日本反戰同盟西南支隊前線工作隊蒞韶記歡迎阪本秀夫等的速寫
page 5	韶新聞界籌組新聞學社支社
page 5	旅韶同鄉紛紛組織同鄉會
page 5	高信鄧青陽抵肇慶
page 5	粵財政廳畫六縣為稅收中心區
page 5	曲岐線驛運運量倍增積極調劑各地米鹽
page 5	領袖手令培植工程人員五年教育成五千幹部教部已飭各校辦理
page 5	工程師學會年會下月在蓉舉行組西康考察團明春出發渝分會開首次會員大會
page 5	東路治安沿路軍警切實負責
page 5	西康日記二一○第十編神秘的木裏
page 5	昆明短簡
page 6	郭德潔女士談來港目的與希望報告桂省災區善後情形亟盼香港各界予以協助
page 6	立法局會議移民法案今日提出討論預料此案首讀必能通過財政委會討論追加預算
page 6	遠東情報局特印中西日曆售款捐助英國
page 6	戰時景氣之一金鋪營業鼎盛全港九共有百五十六家戒備甚嚴迄無劫案發生
page 6	模型飛機比賽二十四日頒獎模型飛機協會同時成立會前展覽各種模型飛機
page 6	白雲故鄉糾紛解決院方欲罷不能
page 6	張百基今日離港南返
page 6	保衛團執委會公布保衛團員徵募辦法正當職業居民皆得報名職責與撫卹均與警察同
page 6	美東國民黨執委李功權返國抵港擬集資在西南經營農場美僑胞支持抗戰極努力
page 6	牛頭角平民營巡禮
page 7	陸軍檢討實力紅白隊分兵操演建立強大聯隊企圖稱雄杯賽另一練習賽星島戰和海上霸
page 7	練習比賽星島迫和海軍
page 7	軍聯試賽紅隊擊退白隊
page 7	學界籃球今日開始比賽
page 7	督憲杯足球賽南華會決派員出席
page 7	中美籃球賽戰情緊張岷甸奴先盛後衰華雄會苦戰獲勝
page 7	外匯牌價仍無變更美匯趨淡申匯穩靜
page 7	四四金市略趨下游
page 7	西貢紙價轉趨下降
page 7	股票市況呆滯昨日成交僅九千餘元
page 7	國幣市況依然穩靜昨日下午無成交
page 7	公開女子籃球舉辦有期一日開始報名
page 7	國際杯慈善賽中華隊將挑選總會委託陳漢明負責召集
