page 1	"社評國貨工業的出路"
page 2	"立院昨聽取預算案報告下半年不打算增發鈔票午後檢討物價問題引起質詢翁文灝俞鴻鈞都作樂觀預言"
page 2	"想把物價壓下去滬當局定了一套嚴厲辦法蔣經國奉命再度由京赴滬"
page 2	"一個人談電工事業今天是他們分別獨立成長的日子"
page 2	"劉不同大談財產稅他說反對開徵者理由不充分既得利益蒙蔽了他們的良知"
page 2	"雙邊協定全部協議中美雙方今天簽字還有些細則要繼續會商"
page 2	"監院暫行休會提出法律案問題懸而未決咨請總統召集三院長會商"
page 2	"廈門通信活不下去了"
page 2	"炎夏逼人而至闊老登山納涼三千多人上了牯嶺將有萬人上莫干山"
page 2	"川各江水漲交通受阻物價暴漲渠江沿岸廬舍蕩然"
page 2	"價配賠償機器當局決定分配數額"
page 2	"中原之戰慘烈進行睢縣陳留等地搏鬥正酣"
page 2	"華中總部正式成立"
page 2	"滬工業現狀與出路本報滬館舉行座談會討論大家認為內戰造成了困難"
page 2	"湯恩伯飛衢州繼任綏署主任"
page 2	"張群明天返京"
page 2	"張伯苓即晉京"
page 2	"美援米麵分批湧到"
page 2	"人民出國歸國審核手續由僑委會辦理"
page 3	"四國對德關係不絕如縷蘇間接邀西方三國恢復談判英美法仍在商量向蘇聯抗議"
page 3	"柏林管制委會蘇聯宣布解體"
page 3	"西德領袖不滿三國作法認為未訂和約難得真正獨立單獨立國增加全德分裂危險"
page 3	"日本第二次經濟白皮書"
page 3	"美留駐柏林杜魯門表示支持"
page 3	"法試平抑物價許曼自信地宣布計劃"
page 3	"芬蘭開始普選投票利順進行"
page 3	"義左派力量示威總工會號召總罷工半日"
page 3	"蘇聯準備製造戰爭嗎"
page 3	"九國情報局責狄托各國共黨響應支援南斯拉夫共黨據說擁護狄托"
page 3	"英加強太平洋艦隊鮑毅德說要增潛艇航艦香港仍為海軍重要基地"
page 3	"杜威的競選戰術集中外交方面打擊民主黨指責他們未遵行兩黨政策"
page 3	"杜魯門很自信一定會被民主黨提名並能擊敗杜威而當選"
page 3	"日本大地震僑胞也遭殃"
page 3	"馬來風雲日亟游擊隊與軍警遭遇戰"
page 3	"暹政府花樣多逮捕驅逐華僑好幾十人又播謠言說我陰謀吞併"
page 3	"菲島人民禁過夜生活日本礦工可穿美舊衣"
page 3	"被遺回國日人多投向共產黨"
page 3	"英商兩家公司得在日營航業"
page 3	"日戰犯柴山等將解上海審訊"
page 3	"南方民主黨人的煩惱"
page 4	"鯉魚門火藥庫炸毀爆炸前附近地區警戒周密火藥數量尚不如估計之多蓬然一聲後居民紛紛回家"
page 4	"國貨展覽會廠商定年底舉行籌委會已經成立"
page 4	"般含道謀殺案昨在巡理府續審小童黃健行到庭作證"
page 4	"銀行警鈴失靈警探空跑一場"
page 4	"萬福士輪船被劫案警方供述拘捕疑犯經過證供未畢今日上午續審"
