page 2	論偽軍反正
page 3	日圖封鎖浙閩海崖楊言侵擾寧波溫州平漢路南段我軍突擊得手
page 3	滬美兵日僑又發生衝突雙方正在調查真相日憲兵被拘案仍談判中
page 3	蚌埠日兵反戰焚毀彈藥庫當地日軍殘殺民眾
page 3	偽軍十五萬攜械投誠李濟深氏談話
page 3	憑祥縣民獻槍服役桂綏署優予獎勵
page 3	滇省當局歡迎僑胞返國墾殖現在趕修公路年底完成
page 3	張總司令自忠兩封遺書捨身報國壯志早決忠義之情溢於言表
page 3	孔部長發表本年度新公債軍需建設均分兩次發行
page 3	林主席赴峨嵋山避暑
page 3	張司令長官救濟失業青年在各地設立招致機關
page 3	包頭灘上偽軍已呈瓦解象阿王雖被挾持失去自由仍囑其弟包土抗日復仇
page 3	日海軍宣布盛京輪案業已圓滿解決
page 3	新　縣長因功晉級
page 3	越南情勢外弛內張
page 3	滬外籍記者六人竟被汪嫉視發表偽令妄圖驅逐
page 3	甲種日本人物的典型但是日本並不稀罕他怪物久原房之助
page 3	晉西晉南連戰皆捷
page 4	對於緬甸運輸事我國對英抗議克萊琪再訪晤有田傳已擬就協定草案
page 4	全美民眾表示歡迎
page 4	土方人士印象良好
page 4	德俯衝轟炸機再襲英航運德機出動數逾百架英倫東南屢被投彈
page 4	德義與近東德圖離間蘇土關係義謀攫取蘇　土河
page 4	希特勒定期凱旋預期月底佔倫敦
page 4	美民主黨開會定十八日舉行第一次投票羅斯福將獲絕大多數擁護
page 4	遠東美國投資約七萬萬餘元 
page 4	檀香山美艦出發演習為期兩星期
page 4	英國加緊準備應戰舉行兵役登記培養反攻能力 
page 4	日對外貿易益感覺困難今後仍須依賴英美對義努力皆成泡影
page 4	英義在地中海續發生海空戰東非邊區兩軍鏖戰中
page 4	和謠
page 4	封鎖寧波溫州
page 4	駐美大使易人
page 4	日新黨運動軍部政府政黨未有積極表示
page 4	日本對美的威脅四
page 4	守衛英倫
page 4	益自奮勵
page 4	本國情形 
page 4	過去一年
page 4	必須準備
page 4	危害英美
page 4	邱吉爾廣播重申抵抗決心寧見倫敦之殘垣斷壁不願為低首帖耳奴隸
page 5	廣州灣禁貨運寸金橋通路已斷中越兵隔橋駐守日檢查員墜機喪命
page 5	中山新縣長林卓夫今日就職吳飛派科長辦交代江會日軍出擾受創
page 5	日艦監視　州港口
page 5	東江水患連日業已退減惠淡交通如常
page 5	工合展覽出品琳琅滿目共達一百四十種總幹事劉廣沛談發展計劃
page 5	邕寧日軍行使偽幣並用偽造中行鈔票綏淥縣民被拉築路
page 5	粵省行政會議決議案加緊實施由行政效率會嚴密督促考核民財教建決議案可發表者共五十三件
page 5	民政方面準備行新縣制禁絕吸運鴉片建立會報制度
page 5	財政方面經濟上反封鎖義民產品免稅劃清省縣稅收
page 5	法機失事日人送命 
page 5	貨運停滯市況蕭條
page 6	街坊自衛組織警察司正規劃中與商會所擬者大致相似四華人代表昨函復商會 
page 6	鯊魚湧葵湧被炸後受傷者來港就醫港鯊小輪刻仍照常開行運輸站被炸毀貨運困難
page 6	港鯊貨物運輸困難
page 6	印王子之母乘機飛港代督將設宴招待
page 6	廣生行減縮資本經得高等法庭核准 
page 6	小說家馮鐵翁病故今日入殮發引
page 6	兒童保育會統計在港會員
page 6	關麗珍死期未至繯首刑改期執行
page 6	中大遷粵員生紛紛過港赴韶
page 6	廣州灣當局對運港糧食解禁昨到大幫牛豬雞鴨等貨預料本港糧食或可跌價
page 6	浮雷已毀滅
page 6	林中原藏密電碼入獄六星期或罰款百元
page 6	後備警察
page 6	代督遷居
page 6	七七花款
page 6	汎美機離港
page 6	各僑校教職員增薪解決辦法學校財政公開減少冗員請求減租避免增加學費
page 6	加薪方面
page 6	學費方面
page 6	墨國新訂華僑入境辦法廣東僑務處已發出通告新客准每年入境一百名
page 7	和和杯足球義賽本屆繼續舉行體協會致電東方籌備進行並商請星島屆時採取合作
page 7	昨晚公開籃球精勵勇挫保羅青白郵匯均告棄權
page 7	中青會友籃球報名展期定二十日截止
page 7	泗水男女籃球隊舉行籌振義賽遠征壟川汶埠六戰六勝全白主將原是暨南名手
page 7	壟川戰績
page 7	夏令籃球賽今日秩序初級美爾頓對南洋高級精武出戰鮀青
page 7	汶埠紀錄
page 7	鮑羅脫拉大過民癮被任法國體育總監
page 7	登台點將
page 7	外匯牌價仍無變動英匯沉寂美匯穩靜
page 7	國幣價格先跌後漲
page 7	八九金市昨日買賣不振
page 7	本港形勢轉安股票復趨緊挺買家漸增賣戶乘勢居奇
page 7	菲擬明年舉辦國際運動大會竟計劃邀請偽組織參加港菲游泳對抗已作罷論
page 7	東方游泳會首次水藝定廿七夜舉行
