page 2	社評美艦隊訪澳之意義
page 3	中央編製兩項計劃增強國力爭取勝利即將提出八中全會討論決定贛北繼續激戰淡水日又蠢動
page 3	美艦隊抵澳澳方歡迎隆重熱烈
page 3	馬來亞自衛能力增強英軍源源開到
page 3	美總統最近演詞全文國際宣傳處譯
page 3	郭大使在英演講我國抗戰形勢總反攻將較一般期待為早
page 3	高斯大使回國請訓後即來華履新
page 3	荷蘭總理訪謁美總統紐總理即赴英
page 3	美政界認為松岡赴德毫無意義此行實迫於國內強力者
page 3	寇裏訪華報告已送呈美總統滬傳美國售與我飛機已有四十架運抵我國
page 3	松岡過蘇不擬久留
page 3	大後方生產進步汽油酒精產量均增加西南西北新式工廠達千餘家
page 3	日國內人民悔加入軸心
page 3	合作會議定期舉行
page 3	美女青年會贈蔣夫人紀念品昨日在陪都隆重致送
page 3	滬工潮未全息汪黨羽兩名被擊重傷
page 4	英土外交當局再度重要會商對巴爾幹局勢作進一步檢討南國傾身軸心轉成熟
page 4	德機數百架又轟炸倫敦到處擲烈性炸彈為本年來最猛烈之空襲
page 4	貝當廣播望美救濟糧荒突尼斯總督抵維希
page 4	美援英撥款案已獲眾院通過預料下週間可在參院表決英向美借用海軍船塢
page 4	美總統最近演詞全文
page 4	南非發展工業適應戰時需要大量製造軍械戰車供給非洲英軍應用
page 4	日人論歐戰謂五月間德將攻英
page 4	歐洲新秩序德橫徵暴歛各淪陷國每年皆須納款以封鎖馬克易取資源
page 4	美總統委出勞工調停局委員妨礙國防生產之糾紛將交由該局受理調停
page 4	曼納哈姆身體不適
page 4	美參院委會通過海軍經費法下年度數達三十餘萬萬大部撥充完成兩洋海軍
page 4	南愛國防部長抵美接洽援助商購武器飛機糧食將訪美政府各要人
page 4	希贈美總統榮譽公民街並將一通衝紀念美總統
page 4	美對芬貸款救濟糧荒數達五百萬元
page 4	自由法國戰費英國撥有的欵
page 4	英國擴大民兵組織擔任戰時後方工作
page 5	南僑總地代表會馬荷菲港已報到各方代表共八十餘名
page 5	四邑重光
page 5	新加坡軍港的戰略價值二
page 5	江會日軍蠢動西犯遭受重創大澤一役被殲百餘名
page 5	菲華僑救護隊成立二週紀念
page 5	粵籌集二百萬元增加糧食行產建廳擬訂計劃大網逐項舉辦糧管局擬實施全省糧食管理
page 5	桂省公布基層經濟建設綱要
page 6	清糞官辦行將實現財委會昨通過是項支銷各非官議員均表示遺憾
page 6	振濟四邑中振會撥款百萬許代委長奉蔣委長電令已飭駐粵人員妥速辦理
page 6	立法局昨通過遺產稅法修正案總督及中英籍非官議員均對岳桐將軍表示感謝
page 6	瞻前顧後話台山
page 6	虞洽卿昨抵港聞即將飛渝向中樞報告
page 6	文咸東街永亨銀號昨被搶兩匪乘印警外出時下手司理窮追不捨被匪斬傷
page 6	社會貧乏罪惡增加私娼數字頗為龐大毒品秘窟未能根絕
page 6	大埔孤兒院明日舉行同樂會由該院兒童作各種表演同時舉行製作產品展覽
page 6	女青年會少女部明日舉行音樂會該部事業分輔助及救濟聘請社會名流共策計劃
page 7	督憲杯華聯戰陣將定廿四選人開會時間地點現尚在考慮中集合星南實力仍不失為勁旅
page 7	自由車球一九四一年新穎的球戲
page 7	體協會擴大歡迎緬華球隊
page 7	東方籃球隊滬將兼程南下廿三抵步征菲前在港作義演兩場
page 7	暨大留港同學會擬舉辦足球義賽
page 7	女子籃球賽南華戰南商明日在青支舉行
page 7	越野賽路今日領取號碼
page 7	澳籃球隊犯港秩序排定
page 7	本週足球比賽節目
page 7	南華初選揭曉選出七十七人
page 7	外匯牌價俱變無更美匯沉寂申匯穩定
page 7	股票市況堅穩昨日成交七成萬餘元
page 7	國幣市況仍屬不振
