page 2	社評法幣外匯及物價之相互關係
page 3	浙省沿海空氣又緊Ｘ方宣稱今日起封鎖海門口石浦Ｘ軍圖登陸已被我擊退
page 3	宜昌英艦被炸燬Ｘ酋及川圖狡賴
page 3	擊落Ｘ機殘翼在渝市東郊發現其餘部分搜尋中
page 3	Ｘ機肆虐詳細情形
page 3	滬郊我軍活躍Ｘ不斷偵察
page 3	張鼓峯戰事一週年紀念蘇政府舉行慶祝
page 3	鶴山實踏記一
page 3	滬三江書店昨日被搜查
page 3	平寧兩偽組織對汪逆仍不迎不拒
page 3	Ｘ人垂涎焦作煤礦竟迫令河南傀儡出面要求英方讓渡管理權
page 3	青海道士將受軍訓
page 3	Ｘ軍侵佔區內反英美暴動蔓延岳州英美僑民被驅逐美孚行油池亦遭毀壞
page 3	防止水陸空私運特種物品進出口國府昨明令公布辦法
page 3	Ｘ人後方的抗戰刊物由一位大學生主持着播送戰訊和政治新聞
page 4	東京談判續開無期日又向英威脅竟謂英回訓今日不至      卽將考慮適當之措置
page 4	東普魯士邊境波關員武裝服務決維持但澤經濟權利德義外長將舉行會晤
page 4	對關員問題波抗議經過
page 4	英法在軍事上力謀調整合作英空軍組織加強
page 4	克拉科演說獲全國擁護
page 4	英艦隊司令返馬爾泰聘土之行告終
page 4	美蘇關係進步兩國商約之展期美官方均予好評
page 4	驚濤駭浪中的暹羅僑胞一
page 4	德義同時舉行大規模演習德空軍以蘇聯為對象義陸軍以法國為目標
page 4	張伯倫赴蘇格蘭休假
page 4	Ｘ軍部內閣間對立尖銳化平沼被迫召開五相會議討論加入德議軍盟問題
page 4	紀念郵票美方對我此舉表示甚為欣快
page 4	澳洲在戰時與英同進退澳總理闢謠
page 4	保國議員訪蘇促進兩國友誼確立經濟關係
page 4	英政府向西慈再發新訓令希望解決最後難題
page 4	戈林演說妄責英國挑釁所謂生存權利不容妨阻實即恐嚇英國少管閑事
page 4	法國闢謠
page 5	江門展開激戰我軍勇猛挺進游擊隊廻襲Ｘ軍亦有斬獲
page 5	中山軍民開會祝捷
page 5	戰利品籌開展覽會
page 5	我空軍大隊出動瓊島Ｘ受重創突襲兵營炸斃Ｘ軍二百海口機場汽油盡付一炬
page 5	淪陷後的潮汕
page 5	龐大的血債
page 5	新會五壯丁抗Ｘ殉國省府傳諭表揚
page 5	省振會籌辦難民墾荒區
page 5	韶各路行車運費加價
page 5	建廳銳意發展粵省工業並擬規復省營工廠
page 5	避暑青島外僑痛述所遭惡遇日人對待旅客如同囚犯肆意搜查法幣悉被攫去
page 5	日偽當局推行華興偽幣傳海關方面有考慮之意梅樂和稱並無正式消息
page 5	粵南沿海Ｘ艦焚燒漁船
page 6	國立各院校新生考試昨開始應考學生共千六百餘人取錄人名九月中旬揭曉
page 6	港大增設理學院學生可主修或選修課程該校定九月十一日開課
page 6	暹羅瓊僑代表過港返瓊勞軍ＸＸＸＸＸＸＸＸＸＸ華僑救國工作進行不懈
page 6	澳門總督巴波沙今日乘機到港
page 6	日海軍宣佈重開珠江河道商輪來往貨物須受限制英艦絲苗號今晨赴廣州
page 6	大風旬刊第四十期出版
page 6	會計員今日在廣大舉行
page 6	港僑獻金運動籌備將告完竣工商各界僑團紛紛響應港九小販義賽勘定地點
page 6	中華遊樂會擴充場地展拓皇仁球場
page 6	全港藝術界義演節目編定十日十一日晚在利舞台明日下午二時開始定座
page 6	保良局收容婦孺最近增至二百餘人歡迎殷商富戶僱用
page 6	新界蔬菜大量供給本港日有蔬菜千擔猪雞千頭最近請求租地者千餘宗
page 6	港九教聯會今日成立會員已有四五百人
page 6	記者學會今日舉行遊園會
page 6	粵劇服務團徵集救傷救急藥品
page 7	越南北圻足球隊九月七日可抵港曾培福昨晨抵步接洽完滿預定表演三場東方打頭陣
page 7	南遊日記
page 7	南斯拉夫台杯隊十日赴美洲此行旅費已獲總理批准台杯戰後將加入林山賽
page 7	德荷女子運動會德選手大捷成績六十比三十德勝荷
page 7	鍾聲水陸游擊二十開始一連演三天
page 7	今年本港日貨進口竟增三百萬元疋頭與燃料傾銷最多英美貨物則反見銳減
page 7	本港金銀進出口統計
page 7	國產牛羊皮集中本港出口上半年出口逾三百萬元大部係運銷英德法三國
