page 2	社評遠東侵略者應當一思
page 3	寧郊我游擊隊活躍突襲龍潭重創日軍我空軍飛晉南轟炸日根據地
page 3	泰越衝突轉劇日機輸入泰國
page 3	荷印當局加緊戒備
page 3	回民青年服務團向開封日兵襲擊日恐慌萬狀窘態畢露
page 3	陳立夫視察川大
page 3	汪鈔命運將與華興相同滬金融界之觀察
page 3	賀國光已到部正式視事
page 3	陝省改良羊毛生產當局現已撥出經費擬具計劃積極推行
page 3	東戰場新形勢
page 3	滇省節儲將逾二千五百萬
page 3	龍州復興工作初步已告完成
page 3	桂婦女會創辦習藝所為抗屬謀職業
page 3	黃正成獲赦因調服軍役有功
page 3	美日根本矛盾非外交能解決華盛頓人士論格魯演說謂已充分說明美國決心
page 3	滬罷工風潮不斷發生物價高漲盜竊案愈多
page 3	杜重遠被扣事盛世才說明經過電覆沈鈞儒黃炎培等
page 3	加緊完成滇緬鐵路英義員向政府建議緬境工程應速準備
page 3	對松岡之演詞日報持論不一
page 3	日淺間火同山脚震動隆隆有聲
page 3	浙省食糧取締浪費
page 4	巴第亞義軍兩萬被英包圍攻擊北菲戰事繼續展開
page 4	英艦縱橫義領海阿境希軍續挺進
page 4	英首相演說勗國人努力生產警戒勿懈英岸防衛堅強足擊敗侵略
page 4	芬蘭總統卡里奧逝世由李第繼任
page 4	美國在太平洋的鐵鉗陣勢阿拉斯加一線是最強的一股一
page 4	義潛艇奉令襲擊西國輪船英海軍部獲有實據
page 4	北海暴風英防空汽球被吹至芬蘭
page 4	艾？報告陸軍實力
page 4	愛自由邦充實防務擴大港口軍事統制
page 4	大島浩重任駐德大使
page 4	巴西在加設置使館正式樹立外交關係
page 4	美國加緊完成擴軍程序海陸部長已擬就計劃將另設三人國防委會英向美訂購大批飛機商輪
page 4	伯特勒報告羅齊安死因為心臟中毒
page 4	澳駐日公使昨抵達東京
page 4	土戒嚴令將延長三月
page 4	德軍開義說尚未獲證實
page 4	德部分撤消跳舞禁令耶誕前後特別開禁
page 4	義報怪消息謂英軍準備佔敘利亞
page 4	李海氏將赴法履新已謁總統辭行
page 4	荷公主抵華盛頓總統夫人熱烈歡迎
page 4	美向南美洲購銅十萬噸
page 4	日仍醉心閃電戰術將派軍事調查團赴德義從事研究
page 4	蘇美無線電話昨開始通話長度為世界冠
page 4	大島再度使德
page 5	桂林開會追悼桂南戰役死難軍民李濟深追悼詞警語收復失地以慰忠魂
page 5	桂林市長陳恩元談市政設施情形視察冬防工作已竣平抑物價獲得好評
page 5	瓊崖一週戰況我團隊迭有斬獲日軍五股進犯均不逞我游擊隊炸毀日兵車
page 5	會城日軍封鎖交通合記渡輸被迫停航
page 5	韶天發起恭鑄領袖銅像民族復興節起募款
page 5	股票市況轉趨蓬勃各股成交十八萬餘元
page 6	四屆國展明日開幕昨日召集全體職員會議滬國貨廠出品運港展覽
page 6	移民局布告勿為歹徒所愚保證短期領證者皆騙匪代辦處地址亦重機關報公布
page 6	麥基利哥獲英王十字勳章
page 6	史羅斯昨廣播報告東方集團會議經過
page 6	中青團義演籌款全港歌姬銷助銷票
page 6	基督教歌頌大會假九龍青年會舉行
page 6	兒童劇場二次演出明晚美華中學擔任
page 6	赴津旅客
page 6	大地回春觀後
page 6	華南戰時兒童教養會在各地進行之步驟華南共設教養院二十所收養難童一萬元為目的
page 6	鴻翔公司三週紀念減價贈品
page 6	福和煙公司新貨源源運港
page 6	銀都舞廳裝修一新今晚開幕
page 7	東方重逢米杜息九龍出師戰光華跑馬地聖約瑟巧遇士葛隊快活谷大枱客迎抗洋水兵
page 7	加山麓東方戰米軍
page 7	界限街頭光華迎鬥九龍
page 7	中華會參加銀牌比賽
page 7	跑馬場內聖約瑟逢蘇軍
page 7	球圃菜根集四
page 7	論明日中西兩戰
page 7	快活谷中香港對抗水兵
page 7	國際杯足球賽蘇軍戰陣排定
page 7	港澳埠際女乒乓賽六比一港隊大勝楊渭濱表演出色驚倒四座今晚男子代表隊對抗
page 7	五屆德權鼎賽開始報名
