page 2	五三的烙印
page 3	晉南日軍全線擊潰中條山前草木皆赤贛北日軍大舉反攻又遭失敗
page 3	行都盛會中央黨部歡迎孫夫人親愛精誠洋溢全會場
page 3	日軍圖加速完成桂南出海通路邕欽鐵路正在趕築中並設築路警備司令
page 3	粵滇空襲日機見我有備倉皇投彈遁去
page 3	桂林勞動界電紐約總工會請向政府呼籲對日禁運滬各團體電蔣委長致敬 
page 3	白主任夫婦每日鍛練國術
page 3	粵嚴行禁賭
page 3	第某軍在全縣追悼陣亡將士蔣委員長特頒匾聯李白亦派代表參加
page 3	張彭春公使短期內可赴士將努力使中土邦交更為親睦
page 3	滬西郊同胞續遭日軍屠殺
page 3	昆明地震
page 3	滬金融市場突起大波動財部電滬有所指示物價恐將繼續上漲
page 3	汪派宣傳機關無恥已極圖混用中央社名義滬各報均一律拒登
page 3	滬綁架案南洋煙公司職員在滬西被匪架走  
page 3	燕大校長司徒雷登離滬遄返北平
page 3	日少將池田在湘北被擊斃
page 3	日本對現局面已窮於應付米內在地方長官會議中勸日人須準備面對艱難 
page 3	內政部保障全國地方治安業已擬定改進辦法三項
page 3	中央社社員劉柏生殉職八日在渝學行追悼
page 3	汪偽組織開場後美國朝野之嚴正表示
page 3	洞庭湖上痛殲日軍淮河北岸血戰再起
page 4	地中海風雲緊近東一帶軍事調動忙墨索里尼接見美使傳曾保證暫不參戰 
page 4	羅馬方面盛傳義閣將有調動
page 4	蘇南商約談判正順利進行中法西斯方面極表重視南學生高呼蘇聯萬歲
page 4	羅斯福有意三屆連任
page 4	英王夫婦出巡南蘭開夏
page 4	張伯倫在眾院報告挪威戰局指陳德應負侵挪責任挪南英軍已安全撤退
page 4	太平洋北部蘇海軍演習潛艇飛機大量參加傳日漁船被蘇拘捕
page 4	英機猛炸丹挪機場
page 4	挪南發生海空激戰
page 4	美海軍改進太平洋據點美國新建之各項軍艦俱以採取攻勢為目的
page 4	菲國民大會通過移民律外僑入境每年限五百人日移民菲島企圖受打擊
page 4	東南歐風雲
page 4	聯軍控制那維克港
page 4	日人在華北的大失敗一國際宣傳處譯
page 4	羅南兩國發現鼓動政變陰謀
page 5	鶴山邊境又緊張江會各線無變動
page 5	淪陷區巡禮劫後話無錫漢奸內鬥偽縣長被刺日軍厭戰梅園內自盡
page 5	戰後絲廠全部被統制
page 5	綁票勒贖偽軍益猖獗
page 5	收容流浪兒童減少犯罪行為滬決創設兒童心理醫院應用最新原理培養良民
page 5	此種組織實極重要
page 5	租界當局決與合作
page 5	青年運動週滬業已開始
page 5	粵省黨務會議圓滿閉幕李主席致訓詞勗勉努力工作大會通電響應節食
page 5	西康日記八二
page 5	自相殘殺可憐漢奸群
page 5	新運婦女會訓練班畢業禮蔣夫人親臨致訓
page 6	日機又炸鯊魚涌躉存海灘貨物悉被焚燬毀屋數座死傷二十餘人
page 6	必打街中利威鑽石洋行昨日被劫槍聲卜卜店東腹部重傷賊黨兩人一被捕一在逃
page 6	兩賊衣著 
page 6	鑽戒三隻
page 6	章遏雲孟小冬聯袂來港目前尚無演唱意
page 6	警探動員
page 6	傷匪口供
page 6	青記學會港分會圖書館徵募運動由五日起定期一個半月組織徵募隊訂酬答辦法
page 6	籌建綠起
page 6	徵募辦法
page 6	中國郵政之歷史冼秉熹律師昨晚廣播演詞
page 6	明日青年節各青年團體學校將分別開會慶祝
page 6	利威洋行
page 6	店東冒險
page 6	子彈橫飛
page 7	加山麓學運會開幕競賽進行順利真光仿林華僑學生表演成績頗優良今晨仍繼續各項運動
page 7	足球總會六月開值理會 
page 7	明夜籃球戰培道對思思
page 7	從學運歸來聯想到田徑賽與球賽
page 7	足球義演海軍戰東方星期日舉行
page 7	國幣價格暴跌港匯市亦受波動滬商紛向本港吸進英美匯
page 7	八九金市先堅後淡
page 7	國幣跌價毫券亦趨下游
page 7	股票市益呆滯買賣廖落成交二萬餘元
page 7	公開棒球賽開會商討賽期
page 7	菲中華女籃球隊定今晚登輪黃榮傑及洪白玉因事未返菲在港六一戰五勝一負載譽榮歸
page 7	田徑成績
