page 2	社評光明的展望
page 3	邱吉爾首相明快表示美國如對日本作戰英決立即起而參加我政府發言人蔣廷黻氏談話民主國共同行動已完全默契                         
page 3	美海部籌備妥當實行武裝商船參院通過之修正案眾院領袖表示擁護
page 3	特別議會尚未舉行日又召開通常議會日報承認美日談話將失敗
page 3	罌花節感言
page 3	滬兩租界當局統制米糧嚴禁商人抬高價格
page 3	日本戰時物資在迅速減縮中存油僅足三個月之用
page 3	傳海參崴附近美輪兩艘觸雷白宮方面迄未接得報告
page 3	歐戰停戰日美總統廣播
page 3	美撤退駐華軍隊對日準備行動渝滬報界均注視太平洋問題
page 3	日報狂吠
page 3	胡文虎由仰光飛抵陪都
page 3	教皇廣播望太平洋太平
page 3	浙東敵竄犯受創我軍挺進至石浦餘漢謀氏報告粵省一週戰況
page 3	贛北敵屢犯靖安獅子山展開激戰
page 3	中牟敵死守待援我乘勝衝入西關
page 3	陪都各團體追悼張沖蔣委長親臨致奠
page 3	蔣孔兩夫人招待中外來賓舉行贈送貓熊典禮蔣委員長躬臨參加
page 3	美軍事顧問團過檀島往中東
page 3	中樞紀念週郭外長報告國際
page 4	中區戰事又轉劇德軍無法進展又被殲滅一萬五千人
page 4	英美蘇熱情交流
page 4	高加索的鎖鑰羅斯托夫今後戰事關係英蘇兩國安全
page 4	如何有效援蘇二
page 4	地中海英艦隊又獲顯赫戰果擊沉軸心供應艦九艘
page 4	義一副襤褸相南義屢遭猛炸人心動搖自身已難保猶高談對美
page 4	希特勒虛聲恫嚇美人士不予重視
page 4	冰島設海軍站意義極重大增加援助英蘇便利確保大西洋之安全
page 4	莫洛托夫答謝英國致蘇賀辭
page 4	奧曼斯基任塔斯社社長
page 4	德西部工業區曾被英機猛炸德空防雖週密仍受重大損失
page 4	一小時內參戰
page 4	德法談判繼續進行
page 4	維也納破獲反德機關捷人多人被槍決
page 5	余翔麟副局長談全國郵政之近況郵資增價後與支出尚難相抵員工調整待遇本月起已實行
page 5	中國工程師年會紀四
page 5	廣州敵軍無力再犯西江上下游一帶敵軍亦抽調空虛
page 5	粵本年度農貸各縣分配情形總額達二千七百四十萬元
page 5	桂第十九屆中學會考明年一月八日開始
page 5	桂滑翔影畫展
page 5	韶關工務局發展電器事業派員赴各地考察及購置器材
page 5	桂企業公司接收工廠先從士敏土廠開始
page 5	粵湘邊境鞏固治安樂昌劃分七個冬防區
page 5	桂防空演習出動飛機三架及團隊萬餘人演出情景逼真成績良好
page 6	國幣黑市價愈高漲銀號多謀遷澳營業傳十四日停止黑市買賣
page 6	工合嘉年華會今日五時開幕特請孫夫人主持剪采禮港督各名流均被邀出席
page 6	嘉年華會國產品工合工廠出品之介紹一
page 6	港督將主持授勳典禮十三日在督轅舉行
page 6	華人軍團首次招募足額
page 6	的士司機罷工當局實行干涉限明日中午前恢復工作華民司於昨晚發出布告
page 6	畢高繼任防空總監史柏堅昨晨離港赴印度陳永安夫人劉美美送行
page 6	燈火管制特別注意燈光昨晨憲報發表
page 6	港當局減少紙張消耗加強用紙統制規定每種紙張使用範圍限燒冥鏹
page 6	今日紀念罌花節昨日舉行售花
page 6	職業婦女舉行集會招待女店員
page 6	上海一平劇團即將在港獻藝
page 6	民大校友會協助母校基金十萬元
page 7	罌花節足球義賽港聯對抗軍聯下午四時半在愉園球場上演前奏曲記者出戰球證
page 7	鐵城杯籃球决戰中青打倒民大結果四十六比三十二第二戰改在十五舉行
page 7	今午九龍球場健美操表演另有女子壘球賽助興野貓對抗加拿大
page 7	香港網球大勢寫在蔡惠全義賽之前建議陶毛囡加入表演
page 7	美聯賑華網球賽續開籌委會議陶毛囡業餘資格有討論蔡惠全抵港無確實日期
page 7	居聯鐵脚團旅行三尋港
page 7	申匯市況依然靜穩英美匯市況仍不振
page 7	國幣價格猛漲昨日最高價到達一七三淡友慘敗交易一度停頓
page 7	股票市況仍無進展昨成交七萬餘元
page 7	滬標金價先漲後降
page 8	工合運動三周紀念嘉年華會商品展覽會特刊中國國貨實業服務社主編
page 8	菲律賓的嘉年華會
