page 2	社評日本被包圍
page 3	豫北戰局轉呈穩定鄭州東南激戰方酣陪都盛傳我軍昨克復宜昌
page 3	我政府發言人暢談湘北大捷原因誘敵深入截其歸路再予圍殲
page 3	湘北視察團沿途所得印象極為良好對我忠勇將士尤表欽敬
page 3	重慶與湘北第二次的大捷
page 3	農林部發表糧食增產數量因政府推行增產工作本年增收約七千萬左右
page 3	美參眾兩院討論菲島國防法案史汀生說明該案之重要
page 3	海防僑胞尚有多人未釋
page 3	虹口槍殺案日兵中彈畢命
page 3	何明華主教在紐約演說募救濟捐款
page 3	德夫古柏視察緬甸防務
page 3	西貢盛傳戴古被撤職越南政府予以否認
page 3	派治過菲轉美赴英
page 3	論華僑匯款二
page 3	普法姆將軍發表訪問馬尼拉經過討論英美相互利益結果圓滿
page 3	日準備侵泰羅慕洛過星時發表專論深信泰國將為越南第二
page 3	日本政治舞台幕後之操縱者大批德秘密政治警察抵東京
page 3	倫敦一般觀察越南將被吞滅
page 3	日本軍人跋扈美日談話終將失敗
page 3	黔新聞界定期公祭季鸞先生
page 3	黨政考察團昨起分別出發
page 3	國內外同胞踴躍勞軍美華僑捐十萬張默君獻二千
page 3	我工合機器在海上被毀運回英國拍賣
page 4	德軍結集中區展開鉗形攻勢紅軍正猛烈抵抗中
page 4	美國的經濟戰略二恩源譯自八月份幸福雜誌
page 4	德土貿易協定今日正式簽署
page 4	歐洲反德運動方興未艾法境鐵路屢遭破壞南游擊隊異常活躍
page 4	英坎特伯雷大主教呼籲捐款援蘇英蘇聯盟應引為榮耀
page 4	美駐蘇大使奉召遄返美國連日與蘇政府領袖舉行談話英援蘇工作圓滑進行
page 4	英德交換俘虜計劃已宣告流產最後一刻德竟推翻雙方協議德俘虜已再送返集中營
page 4	巴拿馬政府反對商船武裝否則不准懸掛巴拿馬國旗
page 4	一九四二年印軍之任務由裏海至尼羅河與英軍並肩作戰
page 4	白宮昨日舉行會議決定對中立法態度威爾基主廢除中立法
page 4	西機參加對蘇作戰
page 4	生產生產英駐美大使演說為獲勝唯一途徑
page 4	澳新內閣名單全部經已發表工黨政府已宣誓就職
page 4	英蘇向阿富汗有提要求說促其處置境內德僑
page 4	長敗國白晝作夢擊傷皇家方舟說英認為無聊可笑
page 4	阿特里即將前赴紐約參加某項會議
page 4	不必做夢
page 5	粵戰區某將軍談湘北大捷之因素敵軍遭我後方部隊嚴重威脅歸路截斷糧粖缺乏卒告慘敗
page 5	湘北大捷又一分析陪部軍界某氏之談話
page 5	李主席暢談湘粵兩省戰情清遠五邑趕辦急振中
page 5	金沙江水利工程正力求分段通航
page 5	昆明近情
page 5	韶關定國慶日舉行祝捷大會湘粵兩慰勞團分途出發製萬人祝電備各界題名
page 5	木船運糧川省糧運中一實際問題王洸局長作技術上談話
page 5	湘桂鐵路改訂行車時刻
page 6	美總統代表格拉第暢談訪問遠東經過中外人士昨歡宴格氏
page 6	國慶紀念日港府機關休假
page 6	港府對支港幣公務員發給生活津貼共分五級按薪水額分配立法局通過後即可實施
page 6	僑團領袖昨晚歡宴美國軍事代表團董顯光代表致歡迎辭暢談論中英美合作意義
page 6	港菲空航增加班次十二日起實行每週來回兩次
page 6	交通銀行在印度進行增設分行溫萬慶昨日離港往加爾吉打仰光分行業務亦加擴充
page 6	宋德和榮獲美海軍冒險章
page 6	卡爾大使由星抵港短期內返重慶
page 6	教團銷節約券昨日頒獎孫院長主持頒獎
page 6	市政衛生局決查究歹徒勒索街市攤位平糶會菜站亦受威脅
page 6	防空工程案停訊一週委員分別進行巡視各防空洞
page 7	國慶日足球義演四隊陣容編定實力平均預料屆時必多看頭天申洛基停賽兩星期
page 7	足球賽乙丙組十五場南米有劇戰
page 7	港澳五報水運參加踴躍雙十節開始角逐
page 7	星東足球大戰門票提前預售星島擴充營房定期遷址
page 7	英皇水運會劉馮占鰲頭
page 7	夏令籃球本週戰事暫停
page 7	居聯會國際長途跑下月底舉行
page 7	七七乓乒杯繼續舉辦服業報効獎品
page 7	許竟成無去志依然擁護東方昨上書陳班主表明心跡靜候膝傷痊愈再上疆場
page 7	鐵城杯籃球賽今晚兩場
page 7	關於撤銷註冊陳福愉致許竟成書
page 7	健康破壞的補救
page 7	股票市況穩靜昨日成交十一萬餘元
page 7	外匯牌價俱無變更申匯市況略形鬆弛
page 7	滬標金價轉趨上漲
page 7	國幣市況先穩後淡
