page 2	社評三個月六星期
page 3	美國態度堅定明確對日決不姑息遷就英與論一致擁護強硬對日
page 3	英海部委出馬來亞司令兼統轄新加坡軍港
page 3	美打擊日本貿易限制使用生絲除供軍事需要外絕對禁民間使用
page 3	郭外長招待記者縱談國際局勢日侵略刀鋒已深入泰國心腹英美應斷然對日採全面封鎖
page 3	緬防空團由渝返仰光對我防空制度獲得深刻印象
page 3	韋爾斯痛斥維希媚日出賣領土有違謊言美國安全亦受威脅
page 3	日本統制全國電力
page 3	高爾將軍宣言維希已推動自主
page 3	美軍用運輸機將大批運華以輔助滇緬路運輸美航空人員數百名抵陪都
page 3	荷印防務日趨嚴密對日侵略陰謀絲毫未予忽視
page 3	美兩振濟團體助我救濟傷難撥款訓練醫科人才購置藥品儀器運華
page 3	徐謨將來港赴澳履新
page 3	墨西哥政府要求德使離境因干涉內政
page 3	哈里法克斯播講最後勝利必屬英
page 3	赫爾國務卿身體已康復
page 3	日完成佔領越南對泰威迫利誘英嚴密注視泰國態度
page 3	日軍結集偽滿朝鮮企圖牽制蘇聯軍事
page 4	蘇德戰爭已六星期德軍一籌莫展希特勒支票撕成碎片
page 4	第六週戰事結束蘇軍仍堅守全線
page 4	英機猛炸柏林地中海德艦被炸毀
page 4	英坦克車工人生產創新紀錄
page 4	康特公爵檢閱加空軍並定期訪美總統
page 4	康寧礦產蘊藏大量發現正計劃加速開發中
page 4	維希新危機德又覬覦法屬西非里昂等地民眾示威
page 4	霍金斯氏昨離莫斯科今後行蹤未經宣布
page 4	汪逆抵粵
page 4	蘇聯空軍的質與量一
page 4	里賓特羅甫剪影英廣播公司揭露其罪惡
page 4	川省豐收新穀即陸續登場陪都米價已趨落秋收後准糧商自由貿易
page 4	華北美人權益屢遭侵犯美領已向日抗議
page 4	盜賣汽油司機判決死刑
page 4	救國公債抽簽還本九日有陪都舉行
page 4	專賣事業積極進行項目辦法均已決心
page 4	全國勞軍團居院長任總團長月中分四路出發
page 4	敵軍擾赤坎
page 4	日用品專賣
page 4	滬杭路中斷我遊擊隊愈活躍
page 4	全國水利委會昨在渝成立主委薛篤弼談今後工作注重農田水利增加糧產
page 4	利用警報時間灌輸國民常識陪都已商定辦法
page 4	豫北偽軍反正殺敵
page 4	敵向廣州灣侵擾犯赤坎被我擊退法當局已讓出水上緝私權平漢路側雞公山發生激戰
page 5	粵發展農林事業貸出款項已達三千七百萬元連縣設立耕牛繁殖場
page 5	敬悼雲史先生
page 5	桂市參議會閉幕追加歲出經費取締兒童義賣廣植雜糧桐權禁止結婚宴客
page 5	吳川大茅嶺匪劫公共汽車損失十餘萬元擊傷一搭客遂溪發生匪騎劫公款案
page 5	桂省嚴緝收購鈔票
page 5	蓄水防旱黔省府通令各縣每聯保建築一塘
page 5	四邑旅外僑胞關懷桑梓前後匯返振款達六十餘萬元
page 5	粵漢路辭職員工要求撥給救濟費薛岳派員赴衡調查實情並電交部予以公正處理
page 5	諸暨三女子請纓殺敵
page 5	工合運動在嶺東
page 5	高志航遺戒珍藏西湖博物館中
page 6	日本郵船公司昨晚突發生大火傳起火原因由電線走火昨日假期房內無人辦公
page 6	港府將增訂管理金融法例港列入英鎊集團不影響港商務同時可增進與各英屬商務關係
page 6	美與遠東間航運幾由美輪獨占大批美國新貨輪駛遠東代替原有日輪行駛各線
page 6	港府凍結日資金下日商業將結束日僑五百人將被迫離去輪船駛入本港未獲准許
page 6	婦女慰勞會登記難婦申請介紹職業者數十
page 6	港存米充裕足供六月食用貯存米石約達一百萬包將來接濟當亦不至中斷
page 6	大夏大學新生揭曉
page 6	颶風又有襲港勢海陸兩方頓呈緊張狀態天文台昨懸出一號風球
page 6	輔政司史美談不擬限制汽油消耗港存煤量足供五月之用每月消耗量二萬四千噸
page 6	美華僑匯款當可照辦港華僑一萬人恃美匯款生活
page 6	灣仔破獲偽幣機關搜出大批一元港幣法幣拘獲客籍男子疑犯五人
page 7	星東隊征澳球員決定全體返港蕭軍需昨午電向星島會報告日內趁輪凱旋下月初可抵步
page 7	體壇憶舊錄續一日
page 7	體育界服役團熱心救國工作擬舉辦學界水運籌賑會
page 7	棒球聯賽昨晨因雨停戰
page 7	排擊十球法訣
page 7	星島體育會各部主任選定
page 7	記者三屆水運十七開始舉行
page 7	中西義泳華隊水球陣容明晚即可公布
page 7	本報小球隊迎戰建國在海軍球場
page 7	鐵城杯星島戰華僑
page 7	星東征澳記第二戰四比二勝南岸聯隊第五函
