page 2	黃花節與民族魂
page 3	桂南日軍退集邕寧又圖西向竄擾扶南
page 3	黨國領袖廣播申討汪偽組織今日起至下月十一日止
page 3	外人眼中汪之醜態
page 3	津日軍暴行樹德學校女校長竟死於毒刑之下 
page 3	台灣革命團體成立聯合會負責作全面策動
page 3	上海一日間三起槍殺案馬少荃被暴徒狙擊漢奸兩人亦被擊傷
page 3	國父中常會一致議決尊稱孫中山先生
page 3	伊盟各旗政府發動鋤奸工作朱綬光由綏蒙返抵榆林談話
page 3	太戈爾八秩大慶陳教長賦詩祝賀
page 3	蘇聯消息報揭露日本窘態對華軍事獲勝無望政治陰謀更難得逞
page 3	上海大火日商蛋廠被焚
page 3	粵省府通過新縣制方案內容共分二十綱目下月起實施三年內完成 
page 3	滬工部局董事美僑初選阿樂滿及卡納當選
page 3	滬生活艱難人口銳減僅有三百餘萬人
page 3	美電台代表經滇赴渝晉謁我當局致敬並搜集廣播材料
page 3	偽蒙軍師長李逆根車被捕解往蘭州訊辦
page 3	日軍駐屯的要求與汪政府
page 3	安東日軍火庫被縱火焚毀損失達百萬元以上
page 3	五家河畔重起血戰晉南戰局被我控制
page 4	近東軍事會議聞英法土已獲妥協德里基昨晉謁教皇
page 4	英拘留蘇貨輪蘇聯提出抗議聲明所有貨物僅供本國之用英增強太平洋巡邏線 
page 4	萊諾將分別召詢法駐外使節蘇報對蘇里資事件認為不必過分重視
page 4	芬內閣改組李第留任唐納改調他職卡里奧盛讚前內閣
page 4	德向荷印購辦原料泗水泊有德輪甚多傳德在遠東建潛艇根據地
page 4	新加坡防務海軍少將德魯演講
page 4	泰森赴葡日間前赴阿根廷
page 4	德以小型輪船運載北歐鐵鑛沿途靠近挪岸行駛俾避免英國之搜捕
page 4	蘇伊條約蘇方不甚重視 
page 4	英將發行兩種新紙幣一鎊及十先令兩種
page 4	克萊琪下月往美度假
page 4	日愚民政策故意宣傳國內間諜活躍禁民偶語圖掩飾其失敗 
page 4	日下年度預算龐大各報表悲觀將引起惡性通貨膨脹物價更高漲民生益困
page 4	韋爾斯抵美將謁見羅斯福總統
page 4	日西成立商約
page 4	德軍械廠大火柏林北區上空紅光一片
page 4	德艦非法干涉荷蘭漁船
page 4	綏西粵南戰事
page 4	民族之愛與熱
page 4	菲島大火金礦城被毀一半難民計達五千人
page 4	雅納爾少將主張對日禁運日屠殺行為應予阻止
page 4	胡大使論中日戰爭中國將獲得最後勝利日本不啻在切腹自殺 
page 4	英德空軍激戰德機兩架起火跌落
page 4	美增強菲島防務日深感不安美海軍在太平洋演習日竟目為侵略企圖
page 4	英空軍部發表死亡人數共七百一十一人
page 4	蘇軍用機飛偽滿偵察日偽大感惶慮
page 4	美陸長伍德林贊成售機英法認此足以刺激生產美製機能力極龐大
page 5	新開路連日砲戰鶴邊形勢甚穩定中山偽商會組織成立
page 5	粵全省人口將重新編查新縣制實施在即籌備益見積極化
page 5	協助新政
page 5	青年志士報國有路中央各校在韶招生前往投考陸續於途
page 5	三民青年團勸購儲蓄券定期五月四日青年節通令國內外一致實行 
page 5	湖南農業力謀改進漵浦設立推廣實驗區
page 5	滇緬行十三
page 5	木刻協會舉行會員總登記徵求各地新會員
page 5	縣長人選
page 5	戰後僑胞捐款達二萬萬元本月收款已逾一千萬元
page 5	宣傳大會
page 5	合作事業
page 5	衛生事業
page 6	蔣夫人最近在港召見婦女領袖談話應喚起本港各階層婦女切實參加各種救國工作
page 6	到會婦女
page 6	婦女模範
page 6	棉衣運動
page 6	傷兵之友
page 6	香港舊書店開幕大減價
page 6	立法局昨通過電話法例修正案原訂法例頗多不完善點修正案曾與該公司商討
page 6	南僑慰勞團望加錫代表李慕青昨抵港
page 6	電話法例不完善點
page 6	法例修正案之內容
page 6	名彫塑家張瑞麟抵港將舉行畫展
page 6	今日黃花節本港各僑團下半旗致哀各校向學生報告烈士史蹟
page 6	第三次藝術觀賞會中國文協等定期舉辦
page 6	慈禧西太后
page 6	遮蔽車燈防空處昨公開表演
page 6	擱淺挪輪昨晨經已浮出
page 6	節約運動徵文比賽本港學賑會主辦
page 6	電話修正案之目的  
page 6	澳門賑災紀行
page 6	寶安商會救濟返鄉難民一俟調查完畢即行散賑港寶小輪往來客貨稀少
page 6	港警察昨舉行週年會操 
page 6	血淚情花
page 6	蝶弄花
page 6	東區遊樂場
page 6	碧雲宮 
page 7	乙組銀牌半決賽南華輸得冤枉結果四比三慘被工程淘汰田院長聲稱提出上訴
page 7	世運會若舉辦日仍無力參加
page 7	九龍學界籃球開代表會聘請裁判十八人
page 7	掃桿埔場擬建石屎看台刻下在商討中
page 7	星華足球隊夏間征菲途經上海香港  
page 7	美菲荷匯牌價續縮英匯略淡申匯穩定
page 7	八九金市再度趨堅人心趨好價復上漲
page 7	買戶久屈思伸股票市況好轉買家給價略增存戶亦多拋出全日成交共廿六萬元
page 7	閩省體育實施概況
page 7	黃柏松昨日出殯遺骸葬永遠墳場
page 7	國際網球義國參戰
page 7	滬東華名將賈幼良昨日抵香港  
